financial_year,award_date,sale_type,lot_number,location,use,use_category_normalized,site_area_sqm,premium_hkd_m,cancelled,parse_confidence,development_english_name,development_address_english,csdi_lot_number,num_bids,successful_tenderer,other_bidders,latitude,longitude,sale_regime,sale_regime_source,parent_developer,max_gfa,gfa_unit,accommodation_value,av_unit,premium_crosscheck_ok,source_url,note,buyer_normalized,buyer_type,winner_source,maxgfa_source,devm_name_source,gfa_check,min_flat_count,flat_size_restriction,flat_req_special,flat_req_source,flat_req_confidence,consent_development,consent_developer,consent_status,consent_date
2014-2015,13/08/2014,tender,TSUEN WAN TOWN LOT NO. 393,"YEUNG UK ROAD, TSUEN WAN, NEW TERRITORIES",RESIDENTIAL AND COMMERCIAL HOTEL,hotel_mixed,14160,3939.8,,high,,,TSUEN WAN TOWN LOT NO. 393,11,Vincord Limited,(1) Brand Rise Limited (Shimao Property Holdings Limited);<br/>(2) East Region Limited (Sino Land Company Limited);<br/>(3) Great Rainbow Investments Limited (Cheung Kong (Holdings) Limited);<br/>(4) Juliyam Limited (Henderson Land Development Company Limited);<br/>(5) Leading Elite Limited (Wheelock Properties Limited);<br/>(6) Shun Ho Construction (Holdings) Limited (Magnificent Estates Limited);<br/>(7) Super Great Limited (Sun Hung Kai Properties Limited);<br/>(8) Super Record Limited (New World Development Company Limited);<br/>(9) Victor Solution Limited (Dorsett Hospitality International Limited); and <br/>(10) Wealth Start Development Limited (Tai Cheung Holdings Limited). | N.A. | N.A.,22.36720673,114.1150447,govt-led,FY rule: Application List abolished Feb 2013; all sales government-initiated,not found,99120,sq m,3690,HK$/sq ft,yes,https://www.info.gov.hk/gia/general/201408/13/P201408130820.htm,Residential and commercial hotel; no parent stated in press release,Vincord Limited,other,https://www.info.gov.hk/gia/general/201408/13/P201408130820.htm | raw/2014-2015/TSUENWANTOWNLOTNO393__result.pdf,https://www.info.gov.hk/gia/general/201408/13/P201408130820.htm | raw/2014-2015/TSUENWANTOWNLOTNO393__result.pdf,,,,,,,,The Aurora,APPROVAL OF DEED OF MUTUAL COVENANT AND MANAGEMENT AGREEMENT | CONSENT TO SELL FOR RESIDENTIAL DEVELOPMENT | VINCORD LIMITED,Named development,18-Jul-19
2014-2015,13/08/2014,tender,TIN TOWN LOT NO. 598,"HANG KWONG STREET, MA ON SHAN, SHA TIN, NEW TERRITORIES",RESIDENTIAL R2,residential,3100,428,,high,THE MET. BLISS,15 HANG KWONG STREET,,,New Rich Investments Limited,,,,govt-led,FY rule: Application List abolished Feb 2013; all sales government-initiated,Wang On Group Limited,10692,sq m,3719,HK$/sq ft,yes,https://www.info.gov.hk/gia/general/201408/13/P201408130820.htm,OCR-garbled; = Sha Tin Town Lot No. 598; parents incl Kam Wah Sure Win Ltd,Wang On,local_minor,https://www.info.gov.hk/gia/general/201408/13/P201408130820.htm | raw/2014-2015/TINTOWNLOTNO598__result.pdf,https://www.info.gov.hk/gia/general/201408/13/P201408130820.htm | raw/2014-2015/TINTOWNLOTNO598__result.pdf,https://www.themet.com.hk/bliss/en/ | raw/2014-2015/TINTOWNLOTNO598__devname.pdf,,180,,,http://www.info.gov.hk/gia/general/201408/13/P201408130819.htm,verified,,,No consent,
2014-2015,20/08/2014,tender,TUEN MUN TOWN LOT NO. 513,"YAN CHING STREET, AREA 10, TUEN MUN, NEW TERRITORIES",RESIDENTIAL R1,residential,1174,427.1,,high,COO RESIDENCE,8 KAI FAT PATH,TUEN MUN TOWN LOT NO. 513,27,Hoyden Holdings Limited (CSI Properties Limited),"(1) Billion Site Property Limited;<br/>(2) Century Link Investments Limited (Kam Wah Evergreen Limited and Wang On Group Limited);<br/>(3) China Cyberworld Limited (Chuang's China Investments Limited);<br/>(4) Dragon Mount Development Limited (Grand Ming Group Holdings Limited);<br/>(5) Easy On Enterprise Limited (Chun Wo Development Holdings Limited and Excel Billion Capital Limited);<br/>(6) Fancy Excellent Limited;<br/>(7) Fine Time Development Limited (Hong Kong Ferry (Holdings) Company Limited);<br/>(8) Get Nice International Limited (Get Nice Holdings Limited);<br/>(9) Goldfort Corporation Limited;<br/>(10) Hanforth Limited;<br/>(11) High Glory Development Limited (Tai Hung Fai Enterprise Company Limited);<br/>(12) Karfond Limited (Far East Consortium International Limited);<br/>(13) Lucky Famous Development Limited (Hon Kwok Land Investment Company, Limited);<br/>(14) Lucky Loyal Limited;<br/>(15) Master Gain Development Limited (Land Acumen Limited);<br/>(16) Mazy Asia Limited (K. Wah International Holdings Limited);<br/>(17) Moonlight Shadow Holdings Limited;<br/>(18) Regal Crown Development Limited (Sino Land Company Limited);<br/>(19) Royal Wealth Development Limited (Sino Rise Properties Limited);<br/>(20) Sino Lead International Limited;<br/>(21) Supreme Word Limited;<br/>(22) Time Fort Limited (K&K Property Holdings Limited);<br/>(23) Total Rich Development Limited;<br/>(24) Town House Development Limited (Kowloon Development Company Limited);<br/>(25) Treasure Land Development Limited; and <br/>(26) Ultimate Lead Limited (Paliburg Holdings Limited and Regal Hotels International Holdings Limited). | N.A. | N.A.",22.39501572,113.9760094,govt-led,FY rule: Application List abolished Feb 2013; all sales government-initiated,CSI Properties Limited,,,,,yes,https://www.info.gov.hk/gia/general/201408/20/P201408200752.htm,Max residential GFA formula-based in Conditions of Sale; not a single figure - GFA/AV not found,CSI Properties,local_minor,https://www.info.gov.hk/gia/general/201408/20/P201408200752.htm | raw/2014-2015/TUENMUNTOWNLOTNO513__result.pdf,https://www.info.gov.hk/gia/general/201408/20/P201408200752.htm | raw/2014-2015/TUENMUNTOWNLOTNO513__result.pdf,https://www.csigroup.hk/en/property-details/5b7158e6018ae/ | raw/2014-2015/TUENMUNTOWNLOTNO513__devname.pdf,,125,,,http://www.info.gov.hk/gia/general/201408/20/P201408200748.htm,verified,COO Residence,APPROVAL OF DEED OF MUTUAL COVENANT AND MANAGEMENT AGREEMENT | CONSENT TO SELL FOR NON-RESIDENTIAL DEVELOPMENT | CONSENT TO SELL FOR RESIDENTIAL DEVELOPMENT | HOYDEN HOLDINGS LIMITED,Named development,-- | 22 August 2017 | 29 September 2019
2014-2015,20/08/2014,tender,TUEN MUN TOWN LOT NO. 512,"LOK CHUI STREET, AREA 59, TUEN MUN, NEW TERRITORIES P. 2",RESIDENTIAL R3,residential,1044.6,156.435713,,high,THE DUET,9& 11 LOK CHUI STREET,TUEN MUN TOWN LOT NO. 512,24,Treasure Mega Limited,"(1) Best King Development Limited (Chuang's China Investments Limited);<br/>(2) Beverley Enterprises Limited;<br/>(3) Century Wisdom Limited (National Electronics Holdings Limited);<br/>(4) Chan Kwok Wing;<br/>(5) Cheer Glory Properties Limited (Sino Land Company Limited);<br/>(6) Chinese Treasure Limited;<br/>(7) Colorise Development Limited (Rykadan Capital Limited);<br/>(8) Eurosia Holdings (Development) Limited;<br/>(9) Fung Son Investments Limited;<br/>(10) Get Nice International Limited (Get Nice Holdings Limited);<br/>(11) Gold Famous Development Limited (Hon Kwok Land Investment Company, Limited);<br/>(12) Good Orient Development Limited;<br/>(13) HKRP Management Limited (HKR International Limited);<br/>(14) Kelpoint Limited (Asia Standard International Group Limited);<br/>(15) Moon Shun Investment Limited;<br/>(16) Noble Profit Holdings Limited;<br/>(17) Poon Shuen Fai;<br/>(18) Seabrook Investment Limited;<br/>(19) Smart Base Holdings Limited (Paliburg Holdings Limited and Regal Hotels International Holdings Limited);<br/>(20) Target Investment (HK) Limited;<br/>(21) Tesco Trading Limited;<br/>(22) Willex Enterprises Limited; and <br/>(23) Yuen Long Kam Kwong Church Limited. | N.A. | N.A.",22.36557086,114.0076523,govt-led,FY rule: Application List abolished Feb 2013; all sales government-initiated,not found,1253,sq m,11599,HK$/sq ft,yes,https://www.info.gov.hk/gia/general/201408/20/P201408200752.htm,No parent stated in press release,Treasure Mega Limited,other,https://www.info.gov.hk/gia/general/201408/20/P201408200752.htm | raw/2014-2015/TUENMUNTOWNLOTNO512__result.pdf,https://www.info.gov.hk/gia/general/201408/20/P201408200752.htm | raw/2014-2015/TUENMUNTOWNLOTNO512__result.pdf,https://www.wongtung.com/en/projects/the-duet/ | raw/2014-2015/TUENMUNTOWNLOTNO512__devname.pdf,,,,,http://www.info.gov.hk/gia/general/201408/20/P201408200748.htm,verified,The Duet,APPROVAL OF DEED OF MUTUAL COVENANT AND MANAGEMENT AGREEMENT,Named development,
2014-2015,3/9/2014,tender,KOWLOON 15 INLAND LOT NO. 11237,"MIDDLE ROAD, TSIM SHA TSUI, KOWLOON",COMMERCIAL OFFICE / HOTEL,hotel_mixed,2630,4688,,high,,,,,Smart Bright Development Limited,,,,govt-led,FY rule: Application List abolished Feb 2013; all sales government-initiated,Henderson Land Development Company Limited,31560,sq m,13800,HK$/sq ft,yes,https://www.info.gov.hk/gia/general/201409/03/P201409030688.htm,OCR-garbled; = Kowloon Inland Lot No. 11237; office/hotel,Henderson Land,local_major,https://www.info.gov.hk/gia/general/201409/03/P201409030688.htm | raw/2014-2015/KOWLOON15INLANDLOTNO11237__result.pdf,https://www.info.gov.hk/gia/general/201409/03/P201409030688.htm | raw/2014-2015/KOWLOON15INLANDLOTNO11237__result.pdf,,,,,,,,,,No consent,
2014-2015,18/09/2014,tender,ABERDEEN 3 INLAND LOT NO. 465,"WONG CHUK HANG ROAD, HONG KONG",PETROL FILLING STATION,petrol_or_ev,620.7,258.6845,,high,,,,,not found,,,,govt-led,FY rule: Application List abolished Feb 2013; all sales government-initiated,not found,,,,,n/a,,OCR-garbled; = Aberdeen Inland Lot No. 465 petrol filling station; tenderer not found; no building GFA - AV n/a,,,,,,unverified,,,,,,,,No consent,
2014-2015,18/09/2014,tender,INLAND LOT NO. 9060,"WONG NAI CHUNG GAP ROAD, HONG KONG",PETROL FILLING STATION,petrol_or_ev,668.9,187.983,,high,,,INLAND LOT NO. 9060,4,ExxonMobil Hong Kong Limited,(1) Chevron Hong Kong Limited;<br/>(2) Shell Hong Kong Limited; and <br/>(3) Sinopec (Hong Kong) Limited (China Petroleum & Chemical Corporation). | N.A. | N.A.,22.25906528,114.1922391,govt-led,FY rule: Application List abolished Feb 2013; all sales government-initiated,not found,,,,,n/a,,Petrol filling station; tenderer not found in press releases; no building GFA - AV n/a,,,,,,unverified,,,,,,,,No consent,
2014-2015,18/09/2014,tender,KOWLOON 779 INLAND LOT NO. 6543,"LAI CHI KOK ROAD, KOWLOON",PETROL FILLING STATION,petrol_or_ev,606.9,74.069998,,high,,,,,not found,,,,govt-led,FY rule: Application List abolished Feb 2013; all sales government-initiated,not found,,,,,n/a,,OCR-garbled; = Kowloon Inland Lot No. 6543 petrol filling station (re-tendered after cancellation); tenderer not found; no building GFA - AV n/a,,,,,,unverified,,,,,,,,No consent,
2014-2015,29/09/2014,tender,FANLING SHEUNG SHUI TOWN LOT NO. 255,"JUNCTION OF LUEN HING STREET, WO FUNG STREET AND LUEN SHING STREET, LUEN WO HUI, FANLING, NEW TERRITORIES",RESIDENTIAL R2,residential,2828,730,,high,COMMUNE MODERN,28 WO FUNG STREET,FANLING SHEUNG SHUI TOWN LOT NO. 255,23,Bright Land Development Limited (Sino Land Company Limited),"(1) Alliance Grace Limited (Vanke Property (Hong Kong) Company Limited);<br/>(2) Assets Island Limited (ITC Properties Group Limited);<br/>(3) Best Vision Development Limited (Sun Hung Kai Properties Limited);<br/>(4) Capitol Investments Limited (Coda Properties Limited);<br/>(5) Charm City Investments Limited (Cheung Kong (Holdings) Limited);<br/>(6) Dragon Mount Development Limited (Grand Ming Group Holdings Limited);<br/>(7) Dragon Star H.K. Investments Limited (K. Wah International Holdings Limited);<br/>(8) Ease Success Limited (Great Eagle Holdings Limited);<br/>(9) Fine Time Development Limited (Hong Kong Ferry (Holdings) Company Limited);<br/>(10) Gold Famous Development Limited (Hon Kwok Land Investment Company, Limited);<br/>(11) Grace Friend Limited;<br/>(12) Hanforth Limited;<br/>(13) Harbour Bright Limited (Peterson Holdings Company Limited);<br/>(14) Henrik Investment Limited (Far East Consortium Limited);<br/>(15) HKRP Management Limited (HKR International Limited);<br/>(16) Hong Fok Corporation (H.K.) Limited (Hong Fok Corporation Limited);<br/>(17) K Wise Limited (K&K Property Holdings Limited);<br/>(18) Lucky Nice Limited (Chinese Estates Holdings Limited);<br/>(19) Million Success Holdings Limited (Kingboard Property Development (HK) Company Limited);<br/>(20) Rich Asia Management Limited (Yau Lee Holdings Limited);<br/>(21) Smart Base Holdings Limited (Paliburg Holdings Limited and Regal Hotels International Holdings Limited); and <br/>(22) United Horizon Limited (Kam Wah Evergreen Limited and Wang On Group Limited). | N.A. | N.A.",22.4985511,114.1427908,govt-led,FY rule: Application List abolished Feb 2013; all sales government-initiated,Sino Land Company Limited,19501,sq m,3478,HK$/sq ft,yes,https://www.info.gov.hk/gia/general/201409/29/P201409290796.htm,GFA incl public car park,Sino Land,local_major,https://www.info.gov.hk/gia/general/201409/29/P201409290796.htm | raw/2014-2015/FANLINGSHEUNGSHUITOWNLOTNO255__result.pdf,https://www.info.gov.hk/gia/general/201409/29/P201409290796.htm | raw/2014-2015/FANLINGSHEUNGSHUITOWNLOTNO255__result.pdf,https://www.28hse.com/en/estate/detail/commune-modern-8859 | raw/2014-2015/FANLINGSHEUNGSHUITOWNLOTNO255__devname.pdf,,250,,,http://www.info.gov.hk/gia/general/201409/29/P201409290795.htm,verified,Commune Modern,APPROVAL OF DEED OF MUTUAL COVENANT AND MANAGEMENT AGREEMENT | BRIGHT LAND DEVELOPMENT LIMITED | CONSENT TO SELL FOR RESIDENTIAL DEVELOPMENT,Named development,27-May-16
2014-2015,22/10/2014,tender,TUNG CHUNG TOWN LOT NO. 38,"AREA 53A, TUNG CHUNG, LANTAU ISLAND, NEW TERRITORIES",HOTEL,hotel,12902,1830,,high,,,TUNG CHUNG TOWN LOT NO. 38,6,Brand Rise Limited (Shimao Property Holdings Limited and Mingfa Group (International) Company Limited),(1) Assets Island Limited (ITC Properties Group Limited;<br/>  CSI Properties Limited and Asia Standard International Group Limited);<br/>(2) Capital Charm Holdings Limited (Regal Hotels International Holdings Limited);<br/>(3) Joy Rise Limited (Sino Land Company Limited);<br/>(4) Super Great Limited (Sun Hung Kai Properties Limited); and <br/>(5) Victor Solution Limited (Dorsett Hospitality International Limited). | N.A. | N.A.,22.29532436,113.9462676,govt-led,FY rule: Application List abolished Feb 2013; all sales government-initiated,Shimao Property Holdings / Mingfa Group (International),56715,sq m,2998,HK$/sq ft,yes,https://www.info.gov.hk/gia/general/201410/22/P201410220705.htm,Hotel,Shimao + Mingfa,consortium,https://www.info.gov.hk/gia/general/201410/22/P201410220705.htm | raw/2014-2015/TUNGCHUNGTOWNLOTNO38__result.pdf,https://www.info.gov.hk/gia/general/201410/22/P201410220705.htm | raw/2014-2015/TUNGCHUNGTOWNLOTNO38__result.pdf,,,,,,,,,,No consent,
2014-2015,5/11/2014,tender,"TAI PO TOWN FO LOT NO. 213 PO,","CHUN ROAD, PAK SHEK KOK, TAI NEW TERRITORIES",RESIDENTIAL R2,residential,19000,2542.88,,high,THE HORIZON,18 FO CHUN ROAD,,,Top Finder Limited,,,,govt-led,FY rule: Application List abolished Feb 2013; all sales government-initiated,not found,66500,sq m,3552,HK$/sq ft,yes,https://www.info.gov.hk/gia/general/201411/05/P201411050696.htm,OCR-garbled; = Tai Po Town Lot No. 213 (Fo Chun Rd); no parent stated in press release,Top Finder Limited,other,https://www.info.gov.hk/gia/general/201411/05/P201411050696.htm | raw/2014-2015/TAIPOTOWNFOLOTNO213PO__result.pdf,https://www.info.gov.hk/gia/general/201411/05/P201411050696.htm | raw/2014-2015/TAIPOTOWNFOLOTNO213PO__result.pdf,https://www.thehorizon.com.hk/?lang=en | raw/2014-2015/TAIPOTOWNFOLOTNO213PO__devname.pdf,,,,,http://www.info.gov.hk/gia/general/201411/05/P201411050693.htm,verified,,,No consent,
2014-2015,12/11/2014,tender,TUEN MUN TOWN LOT NO. 515,"KING SAU LANE, AREA 4, TUEN MUN, NEW TERRITORIES",RESIDENTIAL R2,residential,11048,1051,,high,MOUNT REGENCY DEVELOPMENT,8 KING SAU LANE,TUEN MUN TOWN LOT NO. 515,11,Great Alliance Limited (Sun Hung Kai Properties Limited),"(1) Assets Island Limited (ITC Properties Group Limited, Get Nice Holdings Limited and Asia Standard International Group Limited);<br/>(2) Dragon Mount Development Limited (Grand Ming Group Holdings Limited);<br/>(3) Dragon Star H.K. Investments Limited (K. Wah International Holdings Limited);<br/>(4) East Region Limited (Sino Land Company Limited);<br/>(5) Fine Time Development Limited (Hong Kong Ferry (Holdings) Company Limited);<br/>(6) Hanforth Limited;<br/>(7) Ready Town Limited (Far East Consortium International Limited);<br/>(8) Smart Base Holdings Limited (Paliburg Holdings Limited and Regal Hotels International Holdings Limited);<br/>(9) Time Fort Limited (K&K Property Holdings Limited); and <br/>(10) Wilson Investments Limited (Cheung Kong (Holdings) Limited). | N.A. | N.A.",22.40542717,113.9810179,govt-led,FY rule: Application List abolished Feb 2013; all sales government-initiated,Sun Hung Kai Properties Limited,44192,sq m,2210,HK$/sq ft,yes,https://www.info.gov.hk/gia/general/201411/26/P201411260287.htm,Project = Mount Regency,Sun Hung Kai Properties,local_major,https://www.info.gov.hk/gia/general/201411/26/P201411260287.htm | raw/2014-2015/TUENMUNTOWNLOTNO515__result.pdf,https://www.info.gov.hk/gia/general/201411/26/P201411260287.htm | raw/2014-2015/TUENMUNTOWNLOTNO515__result.pdf,https://www.shkp.com/en-US/our-business/hong-kong-properties/residential-for-sale/mount-regency | raw/2014-2015/TUENMUNTOWNLOTNO515__devname.pdf,,735,,,http://www.info.gov.hk/gia/general/201411/12/P201411120661.htm,verified,Mount Regency Development | Mount Regency Development (Phase 1) | Mount Regency Development (Phase 2),APPROVAL OF DEED OF MUTUAL COVENANT AND MANAGEMENT AGREEMENT | APPROVAL OF SUB-DEED OF MUTUAL COVENANT | CONSENT TO ASSIGN FOR RESIDENTIAL DEVELOPMENT | CONSENT TO SELL FOR RESIDENTIAL DEVELOPMENT | GREAT ALLIANCE LIMITED,Named development,16 March 2018 | 21 June 2018 | N.A.
2014-2015,10/12/2014,tender,TIN TOWN YIU LOT NO. 601,"SHA ROAD, WHITEHEAD, MA ON SHAN, SHA TIN, NEW TERRITORIES P. 3",RESIDENTIAL R3,residential,23500,2138,,high,ALTISSIMO,11 YIU SHA ROAD,,,Loyal Pioneer Limited,,,,govt-led,FY rule: Application List abolished Feb 2013; all sales government-initiated,Chun Wo Development Holdings / China City Construction (Intl),36000,sq m,5517,HK$/sq ft,yes,https://www.info.gov.hk/gia/general/201412/10/P201412100706.htm,OCR-garbled; = Sha Tin Town Lot No. 601 (Yiu Sha Rd); project Altissimo,Chun Wo + China City Construction (Intl),consortium,https://www.info.gov.hk/gia/general/201412/10/P201412100706.htm | raw/2014-2015/TINTOWNYIULOTNO601__result.pdf,https://www.info.gov.hk/gia/general/201412/10/P201412100706.htm | raw/2014-2015/TINTOWNYIULOTNO601__result.pdf,https://www.woproperties.com/en/business/detail.php?id=31 | raw/2014-2015/TINTOWNYIULOTNO601__devname.pdf,,,,,http://www.info.gov.hk/gia/general/201412/10/P201412100701.htm,verified,,,No consent,
2014-2015,17/12/2014,tender,YAU TONG LEI INLAND LOT NO. LEI 42,"YUE MUN PATH, YUE MUN, KOWLOON",RESIDENTIAL R1,residential,3240,1582,,high,ONE EAST COAST,1 LEI YUE MUN PATH,,,Henmell Investment Limited,,,,govt-led,FY rule: Application List abolished Feb 2013; all sales government-initiated,Kowloon Development Company Limited,29160,sq m,5040,HK$/sq ft,yes,https://www.info.gov.hk/gia/general/201412/17/P201412170844.htm,OCR-garbled; = Yau Tong Inland Lot No. 42; GFA incl public car park,Kowloon Development Company Limited,other,https://www.info.gov.hk/gia/general/201412/17/P201412170844.htm | raw/2014-2015/YAUTONGLEIINLANDLOTNOLEI42__result.pdf,https://www.info.gov.hk/gia/general/201412/17/P201412170844.htm | raw/2014-2015/YAUTONGLEIINLANDLOTNOLEI42__result.pdf,,,345,,,http://www.info.gov.hk/gia/general/201412/17/P201412170851.htm,verified,,,No consent,
2014-2015,24/12/2014,tender,LOT NO. 758 IN DEMARCATION DISTRICT NO. 332,"CHEUNG SHA, LANTAU ISLAND, NEW TERRITORIES",RESIDENTIAL R3,residential,4212,290,,high,MT. LA VIE,7 HOI SHA PATH,LOT NO. 758 IN DEMARCATION DISTRICT NO. 332,2,New Advance Limited (Neutron Property Fund Limited),(1) Joy Rise Limited (Sino Land Company Limited). | N.A. | N.A.,22.23642788,113.9567524,govt-led,FY rule: Application List abolished Feb 2013; all sales government-initiated,not found,,,,,n/a,,Tenderer/GFA not found in press releases; project MT. LA VIE,,,,,https://www.mtlavie.com/en/intro | raw/2014-2015/LOTNO758INDEMARCATIONDISTRICTNO332__devname.pdf,unverified,,,,http://www.info.gov.hk/gia/general/201412/24/P201412240581.htm,verified,,,No consent,
2014-2015,7/1/2015,tender,TIN TOWN TAI LOT NO. 587,"PO ROAD â€“ TAI WAI, SHA TIN, NEW TERRITORIES",RESIDENTIAL R3,residential,6550,773,,high,THE MET. ACAPPELLA,7838 TAI PO ROAD TAI WAI,,,Ever World Limited,,,,govt-led,FY rule: Application List abolished Feb 2013; all sales government-initiated,Wang On Properties Limited / Wang On Group Limited,13749,sq m,5223,HK$/sq ft,yes,https://www.woproperties.com/en/business/detail.php?id=23,OCR-garbled; = Sha Tin Town Lot No. 587 (The Met Acappella); GFA approx 148000 sq ft (developer fig); AV computed on ~148000 sq ft,Wang On,local_minor,,,https://www.woproperties.com/en/business/detail.php?id=23 | raw/2014-2015/TINTOWNTAILOTNO587__news.pdf,unverified,,,,http://www.info.gov.hk/gia/general/201501/07/P201501070686.htm,verified,,,No consent,
2014-2015,14/01/2015,tender,KWAI CHUNG KIN TOWN LOT NO. 495,"CHUEN STREET, KWAI CHUNG, NEW TERRITORIES",BUSINESS,commercial,2781,686.8,,high,,,,,Gold Famous Development Limited,,,,govt-led,FY rule: Application List abolished Feb 2013; all sales government-initiated,Hon Kwok Land Investment Company Limited,21185,sq m,3012,HK$/sq ft,yes,https://www.info.gov.hk/gia/general/201501/14/P201501140689.htm,OCR-garbled; = Kwai Chung Town Lot No. 495 (Kin Chuen St); business,Hon Kwok Land Investment Company Limited,other,https://www.info.gov.hk/gia/general/201501/14/P201501140689.htm | raw/2014-2015/KWAICHUNGKINTOWNLOTNO495__result.pdf,https://www.info.gov.hk/gia/general/201501/14/P201501140689.htm | raw/2014-2015/KWAICHUNGKINTOWNLOTNO495__result.pdf,,,,,,,,,,No consent,
2014-2015,27/01/2015,tender,KOWLOON INLAND LOT NO. YIP 6512 YIP YIP HOI,"JUNCTION OF HUNG STREET, WAI STREET, SHUN STREET AND BUN ROAD, KWUN TONG, KOWLOON",COMMERCIAL OFFICE,commercial,6843,5860,,high,,,,,Century Land Investment Limited,,,,govt-led,FY rule: Application List abolished Feb 2013; all sales government-initiated,Assets Guard Holdings Limited,82116,sq m,6629,HK$/sq ft,yes,https://www.info.gov.hk/gia/general/201501/27/P201501270700.htm,OCR-garbled; = New Kowloon Inland Lot No. 6512 (Kwun Tong); commercial/office,Assets Guard Holdings Limited,other,https://www.info.gov.hk/gia/general/201501/27/P201501270700.htm | raw/2014-2015/KOWLOONINLANDLOTNOYIP6512YIPYIPHOI__result.pdf,https://www.info.gov.hk/gia/general/201501/27/P201501270700.htm | raw/2014-2015/KOWLOONINLANDLOTNOYIP6512YIPYIPHOI__result.pdf,,,,,,,,,,No consent,
2014-2015,27/01/2015,tender,KWAI CHUNG TOWN LOT NO. 518,"HING FONG ROAD, KWAI CHUNG, NEW TERRITORIES",RESIDENTIAL R1,residential,810,372.1,,high,EDITION 178,178 HING FONG ROAD,KWAI CHUNG TOWN LOT NO. 518,19,Team Worldwide Limited (Global Convention Limited),(1) Century Link Investments Limited (Wang On Group Limited);<br/>(2) China Cyberworld Limited (Chuang's China Investments Limited);<br/>(3) Dragon Mount Development Limited (Grand Ming Group Holdings Limited);<br/>(4) Fine Time Development Limited (Hong Kong Ferry (Holdings) Company Limited);<br/>(5) Full Supreme Limited;<br/>(6)  Get Nice International Limited (Get Nice Holdings Limited);<br/>(7)  Hanforth Limited;<br/>(8) Hong Fok Corporation (HK) Limited (Hong Fok Corporation Limited);<br/>(9)  Joy Rise Limited (Sino Land Company Limited);<br/>(10) Master Gain Development Limited (Land Acumen Limited);<br/>(11) Pristine Mark Limited (Lai Sun Garment (International) Limited);<br/>(12) Ready Town Limited (Far East Consortium International Limited);<br/>(13) Rich Asia Management Limited (Yau Lee Holdings Limited);<br/>(14) Royal Wealth Development Limited (Sino Rise Properties Limited);<br/>(15) Smart Base Holdings Limited (Paliburg Holdings Limited and Regal Hotels International Holdings Limited);<br/>(16) Time Fort Limited (K&K Property Holdings Limited);<br/>(17) Wallas (Chung's) Development Limited; and <br/>(18) WG Venture Limited (Richfield Group Holdings Limited). | N.A. | N.A.,22.35990458,114.128176,govt-led,FY rule: Application List abolished Feb 2013; all sales government-initiated,Global Convention Limited,,,,,yes,https://www.info.gov.hk/gia/general/201501/27/P201501270700.htm,Max residential GFA formula-based (non-resi cap 810 sq m); GFA/AV not found; project Edition 178,Global Convention Limited,other,https://www.info.gov.hk/gia/general/201501/27/P201501270700.htm | raw/2014-2015/KWAICHUNGTOWNLOTNO518__result.pdf,https://www.info.gov.hk/gia/general/201501/27/P201501270700.htm | raw/2014-2015/KWAICHUNGTOWNLOTNO518__result.pdf,http://www.edition178.com/en/index.html,,,,,http://www.info.gov.hk/gia/general/201501/27/P201501270703.htm,verified,Edition 178,APPROVAL OF DEED OF MUTUAL COVENANT | CONSENT TO SELL FOR RESIDENTIAL DEVELOPMENT | TEAM WORLDWIDE LIMITED,Named development,24-Jul-17
2014-2015,4/2/2015,tender,TUEN MUN YIP TOWN LOT NO. 514,"WONG ROAD, AREA 18, TUEN MUN, NEW TERRITORIES",RESIDENTIAL R2,residential,2428,428.8,,high,THE ESPLANADE,101 YIP WONG ROAD,,,China Cyberworld Limited,,,,govt-led,FY rule: Application List abolished Feb 2013; all sales government-initiated,Chuang's China Investments Limited,,,,,yes,https://www.info.gov.hk/gia/general/201502/04/P201502040782.htm,OCR-garbled; = Tuen Mun Town Lot No. 514 (Yip Wong Rd); residential GFA formula-based (min 7975 sq m); GFA/AV not found; project The Esplanade,Chuang's China Investments Limited,other,https://www.info.gov.hk/gia/general/201502/04/P201502040782.htm | raw/2014-2015/TUENMUNYIPTOWNLOTNO514__result.pdf,https://www.info.gov.hk/gia/general/201502/04/P201502040782.htm | raw/2014-2015/TUENMUNYIPTOWNLOTNO514__result.pdf,https://chuangs.com.hk/en/properties/the-esplanade/ | raw/2014-2015/TUENMUNYIPTOWNLOTNO514__devname.pdf,,,,,http://www.info.gov.hk/gia/general/201502/04/P201502040777.htm,verified,,,No consent,
2014-2015,11/2/2015,tender,KOWLOON INLAND LOT NO. 6532,"LUNG CHEUNG ROAD, BEACON HILL, KOWLOON",RESIDENTIAL R3,residential,10642,2389.8,,high,,,,,NMC 8 Limited,,,,govt-led,FY rule: Application List abolished Feb 2013; all sales government-initiated,Kerry Properties Limited,10812,sq m,20535,HK$/sq ft,yes,https://www.info.gov.hk/gia/general/201502/11/P201502110774.htm,= New Kowloon Inland Lot No. 6532,Kerry Properties,local_major,https://www.info.gov.hk/gia/general/201502/11/P201502110774.htm | raw/2014-2015/KOWLOONINLANDLOTNO6532__result.pdf,https://www.info.gov.hk/gia/general/201502/11/P201502110774.htm | raw/2014-2015/KOWLOONINLANDLOTNO6532__result.pdf,,,,,,http://www.info.gov.hk/gia/general/201502/11/P201502110767.htm,verified,,,No consent,
