financial_year,award_date,sale_type,lot_number,location,use,use_category_normalized,site_area_sqm,premium_hkd_m,cancelled,parse_confidence,development_english_name,development_address_english,csdi_lot_number,num_bids,successful_tenderer,other_bidders,latitude,longitude,sale_regime,sale_regime_source,parent_developer,max_gfa,gfa_unit,accommodation_value,av_unit,premium_crosscheck_ok,source_url,note,buyer_normalized,buyer_type,winner_source,maxgfa_source,devm_name_source,gfa_check,min_flat_count,flat_size_restriction,flat_req_special,flat_req_source,flat_req_confidence,consent_development,consent_developer,consent_status,consent_date
1985-1986,23/01/1986,auction,STTL 261,SHATIN AREA 14B,IG,industrial,13350,36,,high,,,SHA TIN TOWN LOT NO. 261,N.A.,N.A.,N.A. | N.A. | N.A.,22.38450775,114.2062486,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,,,No consent,
1985-1986,23/01/1986,auction,Lot 1002 in DD 215,"SAI KUNG, TUI MIN HOI",I,industrial,3231,6.1,,high,,,LOT NO. 1002 IN DEMARCATION DISTRICT NO. 215,N.A.,N.A.,N.A. | N.A. | N.A.,22.37926526,114.2677125,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,,,No consent,
1985-1986,12/2/1986,tender,YLTL 445,CASTLE PEAK RD,PFS,petrol_or_ev,1971,36.2,,high,,,YUEN LONG TOWN LOT NO. 445,N.A.,N.A.,N.A. | N.A. | N.A.,22.44389836,114.0182452,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,,,No consent,
1985-1986,12/2/1986,tender,Lot 2011 in DD 121,FUI SHA WAI,PFS,petrol_or_ev,2242,35.4,,high,,,LOT NO. 2011 IN DEMARCATION DISTRICT NO. 121,N.A.,N.A.,N.A. | N.A. | N.A.,22.43697569,114.0029418,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,,,No consent,
1985-1986,12/2/1986,tender,TPTL 49,"YIM TIN TSAI, AREA 27",PFS,petrol_or_ev,670,2.5,,high,,,TAI PO TOWN LOT NO. 49,N.A.,N.A.,N.A. | N.A. | N.A.,22.4583609,114.2051802,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,,,No consent,
1985-1986,13/02/1986,tender,KIL 10749,"BEECH ST, TAI KOK TSUI",MCP,transport_parking,4200,31,,high,,,,,,,,,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,,,No consent,
1985-1986,14/02/1986,,STTL 193,TOWN CENTRE,C/R,commercial_residential_mixed,5893,15,,high,,,SHA TIN TOWN LOT NO. 193,N.A.,N.A.,N.A. | N.A. | N.A.,22.38009825,114.1875292,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,,,No consent,
1985-1986,14/02/1986,,TMTL 247,AREA 4A,R1,residential,8802,8.52,,high,,,TUEN MUN TOWN LOT NO. 247,N.A.,N.A.,N.A. | N.A. | N.A.,22.40791465,113.9796704,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,Brilliant Garden (Car Parking Spaces) | Brilliant Garden (Shop No. 1 on G/F) | Brilliant Garden (Shop Nos. 1A1-1A9 on G/F),APPROVAL OF SUB-DEED OF MUTUAL COVENANT | APPROVAL OF SUB-SUB-DEED OF MUTUAL COVENANT,Named development,
1985-1986,14/02/1986,,YLTL 430,GL CASTLE PEAK RD,C/R,commercial_residential_mixed,168,0.61,,high,,,YUEN LONG TOWN LOT NO. 430,N.A.,N.A.,N.A. | N.A. | N.A.,22.44465103,114.0315553,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,,,No consent,
1985-1986,14/02/1986,,YLTL 431,GL CASTLE PEAK RD,C/R,commercial_residential_mixed,218,0.54,,high,,,YUEN LONG TOWN LOT NO. 431,N.A.,N.A.,N.A. | N.A. | N.A.,22.44467817,114.0313348,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,,,No consent,
