Unnamed: 0,Lot Number,Location,User,Site Area,Plot Ratio,Deposit (HK$ M),Estimated Earliest Site Available Date,Period,Rolled over
64,TYTL 161,"Tsing Keung Street, Tsing Yi",Concrete and/or Asphalt Production,0.4229 ha,2.5,2.0,August 2001,2001/2002,0
65,TYTL 162,"Tsing Keung Street, Tsing Yi",Concrete and/or Asphalt Production,0.4647 ha,2.5,2.0,August 2001,2001/2002,0
66,KIL 11158,"Site E/A3, West Kowloon Reclamation (Site B2)",Residential R1,1.0450 ha,6.5/1,50.0,April 2002,2002/2003,1
67,KIL 11146,"Site E/A3, West Kowloon Reclamation (Site B1)",Residential R1,1.1353 ha,6.5/1,50.0,April 2002,2002/2003,1
68,NKIL 6308,"Junction of King Fuk Street, King Tai Street and Prince Edward Road East, San Po Kong",Residential R1,1.2701 ha,9,50.0,April 2002,2002/2003,1
69,STTL 487,"Site 15, Area 77, Ma On Shan",Residential R2,1.4338 ha,5,50.0,April 2002,2002/2003,1
70,NKIL 6196,"Junction of Cornwall Street and Tat Chee Avenue, Kowloon Tong",Residential R3,1.4700 ha,1.903,50.0,April 2002,2002/2003,1
71,STTL 449,"Sites 21 and 22, Area 86B, Ma On Shan",Residential R2,2.1100 ha,5,50.0,April 2002,2002/2003,1
72,KIL 11140,"Site F/A14, West Kowloon Reclamation",Residential R1,1.3576 ha,6.5/1,50.0,April 2002,2002/2003,1
73,Lot 734 D.D. 4,"Sites 3 and 4, Mui Wo, Lantau",Residential R3,0.2419 ha,0.6,1.0,April 2002,2002/2003,0
74,AIL 451,"Welfare Road, Aberdeen",Residential R1,0.6403 ha,8,50.0,August 2002,2002/2003,0
75,STTL 510,"Tung Lo Wan Hill Road, Sha Tin",Residential R2,1.2200 ha,2.3,30.0,September 2002,2002/2003,0
76,KIL 11124,"Ex-Tin Kwong Road Police Married Quarters, Ho Man Tin",Residential R1,1.6730 ha,9,50.0,September 2002,2002/2003,0
77,CWIL 175,"Lin Shing Road, Chai Wan",Residential R1,0.2080 ha,8,20.0,October 2002,2002/2003,0
78,TKOTL 77,"Area 73B, Tseung Kwan O",Residential R1,1.2500 ha,6.5/0.16,50.0,December 2002,2002/2003,1
79,STTL 536,"Area 11, Shek Mun, Sha Tin",Residential R1,1.7500 ha,5,50.0,December 2002,2002/2003,0
80,TKOTL 87,"Area 74 South, Tseung Kwan O",Residential R1,1.7500 ha,7.15/1,50.0,December 2002,2002/2003,0
81,TKOTL 86,"Area 74 South, Tseung Kwan O",Residential R1,2.4940 ha,7.15/1,50.0,December 2002,2002/2003,0
82,NKIL 6330,"Sa Po Road, Kowloon City",Residential R1,0.3510 ha,9,40.0,January 2003,2002/2003,0
83,YLTL 518,"Ex-Yuen Long Estate, Yuen Long",Residential R1,1.2400 ha,5,40.0,March 2003,2002/2003,1
84,FSSTL 177,"Sha Tau Kok Road, Fanling",Residential / Commercial,0.8900 ha,5/9.5,30.0,April 2002,2002/2003,0
85,IL 8920,"Ex-Government Supplies Depot, Oil Street, North Point",Residential / Commercial,1.4667 ha,Portion A: 10.55; Portion B: see Note 2,50.0,April 2002,2002/2003,1
86,TWTL 393,"Yeung Uk Road, Tsuen Wan",Residential / Commercial,1.4200 ha,5/9.5,50.0,March 2003,2002/2003,0
87,TSWTL 26,"Area 108A, Tin Shui Wai",Commercial,0.6500 ha,4,10.0,April 2002,2002/2003,0
88,TCTL 11,"Area 3A, Tung Chung",Commercial and Public Transport Terminus,1.0212 ha,3,2.0,April 2002,2002/2003,0
89,KIL 11111,Hung Hom Bay Reclamation,Commercial and Public Transport Terminus,2.9356 ha,6.855,50.0,October 2002,2002/2003,0
90,NKIL 6269,"Junction of Wai Yip Street, Shun Yip Street and Hoi Bun Road, Kwun Tong",Business and Multi-storey Carpark,0.7166 ha,12,30.0,January 2003,2002/2003,0
91,KCTL 487,"Wang Kei Road, Kwai Chung",Industrial / Industrial - Office,0.1482 ha,9.5,2.0,September 2002,2002/2003,1
92,CWIL 165,Chai Wan Reclamation,Industrial / Industrial - Office,0.5247 ha,15,10.0,December 2002,2002/2003,0
93,KCTL 478,"Wing Kin Road, Kwai Chung",Industrial / Industrial-Office/Godown and Multi-storey Carpark and LPG Vehicle Repair Workshop,0.3707 ha,9.5,0.5,September 2002,2002/2003,1
