Unnamed: 0,Lot Number,Location,User,Site Area,Plot Ratio,Deposit (HK$ M),Estimated Earliest Site Available Date,Period,Rolled over
424,IL 8949,"21, 23 and 25 Borrett Road, Mid-Levels West",Residential R2,1.0488 ha,,,April 2011,2011/2012,1
425,KIL 11184,"Ex-Ko Shan Road Customs & Excise Service Married Quarters, 7 Ko Shan Road, Hung Hom, Kowloon",Residential R1,0.1902 ha,,,April 2011,2011/2012,1
426,IL 8963,"Former Lingnan College Site, Stubbs Road",Residential R3,1.4900 ha,,,April 2011,2011/2012,1
427,IL 8920,"Ex-Government Supplies Depot, Oil Street, North Point",Hotel and Residential / Commercial,0.7887 ha,,,June 2011,2011/2012,1
428,Lot 1950 in DD 221,"Sai Kung Town, Area 4",Hotel,1.7940 ha,,,April 2011,2011/2012,1
429,IL 8970,"373 Queen's Road East, Hong Kong",Hotel,0.0717 ha,,,April 2011,2011/2012,1
430,NKIL 6269,"Junction of Wai Yip Street, Shun Yip Street and Hoi Bun Road, Kwun Tong",Business,0.7083 ha,,,April 2011,2011/2012,1
431,NKIL 6314,"Junction of Kai Cheung Road and Wang Kwong Road, Kowloon Bay",Commercial,0.6600 ha,,,April 2011,2011/2012,1
432,TSWTL 26,"Area 108A, Tin Shui Wai",Commercial,0.6500 ha,,,April 2011,2011/2012,1
433,STTL 463,"Junction of On Yiu Street and On Kwan Street, Shek Mun, Sha Tin",Business,0.7997 ha,,,April 2011,2011/2012,0
434,STTL 412,"Junction of On Kwan Street and On Lai Street, Shek Mun, Sha Tin",Business,0.6540 ha,,,July 2011,2011/2012,0
435,Lot 2086 in DD 105,"Ngau Tam Mei, off San Tam Road, near Maple Gardens, Yuen Long",Residential R4,2.3480 ha,,,April 2011,2011/2012,1
436,Lot 2129 in DD 121,"Ping Kwai Road, Ping Shan, Yuen Long",Residential R3,0.6076 ha,,,April 2011,2011/2012,1
437,RBL 1165,"Near 110 Repulse Bay Road, Hong Kong",Residential R3,0.4250 ha,,,April 2011,2011/2012,1
438,RBL 1168,"Near 35 South Bay Road, Hong Kong",Residential R3,0.1338 ha,,,April 2011,2011/2012,1
439,RBL 1190,"8-12 Deep Water Bay Drive, Shouson Hill",Residential R3,1.0249 ha,,,April 2011,2011/2012,1
440,StIL 91,"Hoi Fung Path, Stanley",Residential R3,0.0615 ha,,,April 2011,2011/2012,1
441,Lot 1588 in DD 243,"Pik Sha Road, Silverstrand, Clear Water Bay, Sai Kung",Residential R4,0.7615 ha,,,April 2011,2011/2012,1
442,Lot 1613 in DD 222,"Kap Pin Long, Sai Kung",Residential R4,0.1733 ha,,,April 2011,2011/2012,1
443,Lot 1282 in DD 253,"Junction of Pak Shek Wo San Tsuen Road and Clear Water Bay Road, Sai Kung",Residential R3,0.2400 ha,,,April 2011,2011/2012,1
444,NKIL 6498,"62 Begonia Road, Yau Yat Chuen, Kowloon Tong",Residential R3,0.2810 ha,,,April 2011,2011/2012,1
445,Lot 673 in DD Peng Chau,"Tung Wan, Peng Chau (Site A)",Residential R3,0.1142 ha,,,April 2011,2011/2012,1
446,Lot 674 in DD Peng Chau,"Tung Wan, Peng Chau (Site B)",Residential R3,0.1780 ha,,,April 2011,2011/2012,1
447,Lot 676 in DD Peng Chau,Peng Chau,Residential R3,0.4564 ha,,,April 2011,2011/2012,1
448,Lot 678 in DD Peng Chau,Peng Chau,Residential and Commercial,0.5200 ha,,,April 2011,2011/2012,1
449,Lot 726 in DD 4,"Mui Wo, Lantau",Residential and Commercial,0.2260 ha,,,April 2011,2011/2012,1
450,Lot 724 in DD 332,"Cheung Sha Site 406, Lantau",Residential R4,0.7410 ha,,,April 2011,2011/2012,1
451,Lot 726 in DD 332,"Cheung Sha Site 407, Lantau",Residential R4,0.7550 ha,,,April 2011,2011/2012,1
452,STTL 525,"Shatin Area 56A, Kau To (Site A)",Residential R2,2.3056 ha,,,April 2011,2011/2012,1
453,STTL 562,"Shatin Area 56A, Kau To (Site B5)",Residential R3,0.4680 ha,,,April 2011,2011/2012,1
454,STTL 563,"Shatin Area 56A, Kau To (Site B6)",Residential R3,0.5950 ha,,,April 2011,2011/2012,1
455,STTL 564,"Shatin Area 56A, Kau To (Site B7)",Residential R3,0.5480 ha,,,April 2011,2011/2012,1
456,STTL 565,"Shatin Area 56A, Kau To (Site B1)",Residential R3,0.8590 ha,,,April 2011,2011/2012,1
457,STTL 566,"Shatin Area 56A, Kau To (Site B2)",Residential R3,0.8080 ha,,,April 2011,2011/2012,1
458,STTL 567,"Shatin Area 56A, Kau To (Site B3&4)",Residential R3,1.9700 ha,,,April 2011,2011/2012,1
459,TMTL 430,"Area 52, Fu Tei, Tuen Mun",Residential R4,0.3173 ha,,,April 2011,2011/2012,1
460,Lot 4309 in DD 124,"Tan Kwai Tsuen, Hung Shui Kiu, Yuen Long",Residential R3,1.1192 ha,,,June 2011,2011/2012,1
461,TMTL 434,"Junction of Ka Wo Li Hill Road and Castle Peak Road, Area 55, So Kwun Wat, Tuen Mun",Residential R3,0.3550 ha,,,June 2011,2011/2012,1
462,TMTL 490,"Castle Peak Road, Tai Lam Chung, Tuen Mun",Residential R3,0.2050 ha,,,June 2011,2011/2012,1
463,IL 9020,"Western part of Ex-North Point Estate, North Point",Hotel,0.5369 ha,,,April 2011,2011/2012,1
464,KIL 11205,"Junction of Hung Luen Road and Wa Shun Street, Hung Hom Bay Reclamation, Kowloon",Hotel,1.5623 ha,,,April 2011,2011/2012,1
465,NKIL 6195,"Cha Kwo Ling Road, Kwun Tong",Commercial (Including Public Car Park),0.4878 ha,,,April 2011,2011/2012,1
466,NKIL 6311,"Junction of Sheung Yuet Road, Wang Tai Road and Wang Yuen Street, Kowloon Bay",Business,0.2579 ha,,,April 2011,2011/2012,1
467,NKIL 6312,"Junction of Wang Chiu Road and Lam Lee Street, Kowloon Bay",Business,0.4297 ha,,,April 2011,2011/2012,1
468,NKIL 6313,"Cheung Yip Street, Kowloon Bay",Business,0.3795 ha,,,April 2011,2011/2012,1
469,Lot 1176 in DD 215,"Tui Min Hoi, Sai Kung",Commercial,0.1659 ha,,,April 2011,2011/2012,1
470,KIL 11111,"Junction of Hung Luen Road and Kin Wan Street, Hung Hom Bay Reclamation, Kowloon",Commercial,1.3703 ha,,,April 2011,2011/2012,1
471,STTL 482,"Site 11, Area 77, Ma On Shan, Sha Tin",Commercial,0.5090 ha,,,April 2011,2011/2012,1
472,TCTL 11,"Area 3A, Tung Chung, Lantau",Commercial,1.0026 ha,,,April 2011,2011/2012,1
473,KIL 11227,"Junction of Sheung Lok Street and Sheung Shing Street, former Homantin Estate Redevelopment Ph 2 and 7 sites",Residential R2,2.0810 ha,,,July 2011,2011/2012,0
474,KIL 11228,"Junction of Fat Kwong Street and Sheung Foo Street, former Homantin Estate Redevelopment Ph 3 site",Residential R2,0.7191 ha,,,July 2011,2011/2012,0
475,TMTL 436,"Kwun Fat Street, Siu Lam, Tuen Mun",Residential R4,0.8980 ha,,,August 2011,2011/2012,0
476,TMTL 423,"Ex-Perowne Barracks North site, Area 48, Castle Peak Road, Tuen Mun",Residential R3,6.6970 ha,,,October 2011,2011/2012,0
477,TKOTL 113,Tseung Kwan O Area 66A,Residential R2,1.3400 ha,,,October 2011,2011/2012,0
478,TKOTL 114,Tseung Kwan O Area 66C1,Residential R2,0.4340 ha,,,October 2011,2011/2012,0
479,TKOTL 115,Tseung Kwan O Area 66D1,Residential R2,0.5030 ha,,,October 2011,2011/2012,0
480,TKOTL 119,Tseung Kwan O Area 66B2,Residential R2,0.8260 ha,,,October 2011,2011/2012,0
481,ApIIL 135,Junction of Ap Lei Chau Drive and Ap Lei Chau Praya Road,Residential R1,0.3050 ha,,,November 2011,2011/2012,0
482,IL 9027,"Eastern part of ex-North Point Estate, North Point",Residential and Commercial,2.9300 ha,,,March 2012,2011/2012,0
483,TKOTL 95,Tseung Kwan O Area 68A,Residential R3,3.7300 ha,,,March 2012,2011/2012,0
484,TKOTL 117,Tseung Kwan O Area 66C2,Residential R3,1.3000 ha,,,March 2012,2011/2012,0
485,TKOTL 118,Tseung Kwan O Area 66D2,Residential R3,1.5000 ha,,,March 2012,2011/2012,0
486,STTL 574,"Lok Wo Sha, Ma On Shan, Sha Tin",Residential R3,1.7400 ha,,,March 2012,2011/2012,0
487,TMTL 495,"So Kwun Wat, Tuen Mun, near Grandview Terrace",Residential R4,0.1950 ha,,,March 2012,2011/2012,0
488,RBL 1190,"8-12 Deep Water Bay Drive, Shouson Hill",Residential R3,1.0249 ha,,,Now,2012/2013,1
489,Lot 673 in DD Peng Chau,"Tung Wan, Peng Chau (Site A)",Residential R3,0.1142 ha,,,Now,2012/2013,1
490,Lot 674 in DD Peng Chau,"Tung Wan, Peng Chau (Site B)",Residential R3,0.1780 ha,,,Now,2012/2013,1
491,Lot 678 in DD Peng Chau,Peng Chau,Residential and Commercial,0.5200 ha,,,Now,2012/2013,1
492,STTL 562,"Area 56A, Kau To, Sha Tin (Site B5)",Residential R3,0.4680 ha,,,Now,2012/2013,1
493,STTL 563,"Area 56A, Kau To, Sha Tin (Site B6)",Residential R3,0.5950 ha,,,Now,2012/2013,1
494,STTL 565,"Area 56A, Kau To, Sha Tin (Site B1)",Residential R3,0.8590 ha,,,Now,2012/2013,1
495,STTL 566,"Area 56A, Kau To, Sha Tin (Site B2)",Residential R3,0.8080 ha,,,Now,2012/2013,1
496,STTL 567,"Area 56A, Kau To, Sha Tin (Site B3&4)",Residential R3,1.9700 ha,,,Now,2012/2013,1
497,TMTL 430,"Area 52, Fu Tei, Tuen Mun",Residential R4,0.3173 ha,,,Now,2012/2013,1
498,TMTL 434,"Junction of Ka Wo Li Hill Road and Castle Peak Road, Area 55, So Kwun Wat, Tuen Mun",Residential R3,0.3457 ha,,,Now,2012/2013,1
499,TMTL 490,"Castle Peak Road, Tai Lam Chung, Tuen Mun",Residential R3,0.2050 ha,,,Now,2012/2013,1
500,KIL 11227,"Junction of Sheung Lok Street and Sheung Shing Street, Ho Man Tin",Residential R2,2.4077 ha,,,Now,2012/2013,1
501,KIL 11228,"Junction of Fat Kwong Street and Sheung Foo Street, Ho Man Tin",Residential R2,0.7714 ha,,,Now,2012/2013,1
502,TKOTL 117,Tseung Kwan O Area 66C2,Residential R3,1.2915 ha,,,March 2012,2012/2013,1
503,TKOTL 118,Tseung Kwan O Area 66D2,Residential R3,1.4954 ha,,,March 2012,2012/2013,1
504,STTL 574,"Lok Wo Sha, Ma On Shan, Sha Tin",Residential R2,1.4400 ha,,,March 2012,2012/2013,1
505,TMTL 495,"Kwun Fung Street, Siu Lam, Tuen Mun",Residential R4,0.2010 ha,,,March 2012,2012/2013,1
506,TKOTL 114,Tseung Kwan O Area 66C1,Residential R2,0.4352 ha,,,April 2012,2012/2013,1
507,TKOTL 115,Tseung Kwan O Area 66D1,Residential R2,0.5026 ha,,,April 2012,2012/2013,1
508,IL 9027,"Eastern part of ex-North Point Estate, North Point",Residential and Commercial,2.3400 ha,,,May 2012,2012/2013,1
509,TKOTL 95,Tseung Kwan O Area 68A2,Residential R3,2.1306 ha,,,May 2012,2012/2013,1
510,TKOTL 125,Tseung Kwan O Area 68A1,Residential R3,1.5969 ha,,,May 2012,2012/2013,1
511,IL 9020,"Western part of Ex-North Point Estate, North Point",Hotel,0.5369 ha,,,Now,2012/2013,1
512,IL 9036,"Murray Building, Cotton Tree Drive, Hong Kong",Hotel,0.6330 ha,,,March 2013,2012/2013,1
513,STTL 482,"Site 11, Area 77, Ma On Shan, Sha Tin",Commercial,0.5090 ha,,,Now,2012/2013,1
514,TCTL 11,"Area 3A, Tung Chung, Lantau Island",Commercial,1.0026 ha,,,Now,2012/2013,1
515,IL 8947,"123 Gloucester Road and 219-227 Lockhart Road, former Wan Chai Police Station cum Wan Chai Police Married Quarters",Hotel / Commercial / Community & Cultural,0.3950 ha,,,March 2013,2012/2013,1
516,Lot 750 in DD 332,"South Lantau Road, Cheung Sha, Lantau Island",Residential R4,0.1440 ha,,,March 2012,2012/2013,0
517,STTL 579,"Area 56A, Kau To, Sha Tin",Residential R3,3.2910 ha,,,April 2012,2012/2013,0
518,STTL 578,"Area 56A, Kau To, Sha Tin",Residential R3,1.7389 ha,,,May 2012,2012/2013,0
519,KIL 11229,"7 Kwun Chung Street, Jordan, Kowloon",Residential R1,0.0263 ha,,,June 2012,2012/2013,0
520,TMTL 435,"Area 55, Castle Peak Road, Tuen Mun",Residential R3,1.1600 ha,,,August 2012,2012/2013,0
521,Lot 1949 in DD 221,"Sha Kok Mei, Sai Kung",Residential R3,1.5600 ha,,,October 2012,2012/2013,0
522,TMTL 427,"Junction of So Kwun Wat Road and Kwun Chui Road, Tuen Mun",Residential R3,2.8160 ha,,,December 2012,2012/2013,0
523,TMTL 498,"Junction of Wu On Street and Wu Hong Street, Tuen Mun",Residential R2,0.2260 ha,,,December 2012,2012/2013,0
524,TMTL 497,"So Kwun Wat Road, Tuen Mun (opposite to A.D. & F.D. of Pok Oi Hospital Mrs. Cheng Yam On Millennium School)",Residential R3,0.3370 ha,,,January 2013,2012/2013,0
525,NKIL 6516,"Kai Tak Area 1H Site 1, Kowloon",Residential R2,0.7772 ha,,,January 2013,2012/2013,0
526,NKIL 6517,"Kai Tak Area 1H Site 2, Kowloon",Residential R2,0.8586 ha,,,January 2013,2012/2013,0
527,TPTL 208,"Fo Chun Road, Pak Shek Kok, Tai Po",Residential R2,1.5000 ha,,,January 2013,2012/2013,0
528,TPTL 211,"Fo Chun Road, Pak Shek Kok, Tai Po",Residential R2,1.5000 ha,,,January 2013,2012/2013,0
529,IL 9048,"Schooner Street, Wan Chai",Residential R2,0.0270 ha,,,February 2013,2012/2013,0
530,IL 9049,"Sik On Street, Wan Chai",Residential R2,0.0249 ha,,,February 2013,2012/2013,0
531,RBL 1197,"Mount Austin Road, The Peak, Hong Kong",Residential R3,0.1306 ha,,,February 2013,2012/2013,0
532,STTL 581,"Whitehead, Ma On Shan, Sha Tin",Residential R3,3.8024 ha,,,February 2013,2012/2013,0
533,TKOTL 93,Tseung Kwan O Area 68B1,Residential R3,2.6850 ha,,,February 2013,2012/2013,0
534,TKOTL 126,Tseung Kwan O Area 68B2,Residential R3,2.6843 ha,,,February 2013,2012/2013,0
535,TKOTL 112,Tseung Kwan O Area 65C1,Residential R3,1.4000 ha,,,February 2013,2012/2013,0
536,TKOTL 124,Tseung Kwan O Area 65C2,Residential R3,1.9900 ha,,,February 2013,2012/2013,0
537,YLTL 528,"Tak Yip Street, Tung Tau, Yuen Long",Residential R2,0.4400 ha,,,February 2013,2012/2013,0
538,Lot 1003 in DD 40,"Junction of Shun Lung Street and Shun Cheong Street, Sha Tau Kok",Residential R2,0.3344 ha,,,March 2013,2012/2013,0
539,Lot 1004 in DD 40,"Che Ping Street, Sha Tau Kok",Residential R2,0.0458 ha,,,March 2013,2012/2013,0
540,KIL 11235,"Junction of Argyle Street and Canton Road, Kowloon (ex-Mong Kok Market Site)",Commercial / Office / Hotel,0.1240 ha,,,March 2013,2012/2013,0
