Lot Number,Location,User,Site Area,Plot Ratio,Deposit (HK$ M),Estimated Earliest Site Available Date,Period,Rolled over
KIL 11103,Hung Hom Bay Reclamation,Commercial and Multi-storey Carpark,0.9940 ha,12,50,April 2001,2001/2002,1
NKIL 6195,"Cha Kwo Ling Road, Kwun Tong",Commercial and Multi-storey Carpark,0.4878 ha,12,20,April 2001,2001/2002,1
NKIL 6314,"Junction of Kai Cheung Road and Wang Kwong Road, Kowloon Bay",Commercial and Multi-storey Carpark,0.6623 ha,12,40,April 2001,2001/2002,0
KCTL 487,"Wing Kei Road, Kwai Chung",Industrial/Office,0.1480 ha,9.5,2,December 2001,2001/2002,0
Lot 2035 D.D. 121,"Tong Yan San Tsuen, Yuen Long",Industrial/Godown,0.1090 ha,3,0.5,April 2001,2001/2002,0
Lot 1142 D.D. 215,"Hong Tsuen Road, Sai Kung Tuk, Sai Kung",Industrial/Godown and Vehicle Repair Workshop,0.2400 ha,5.167,2,April 2001,2001/2002,1
KCTL 478,"Wing Kin Road, Kwai Chung",Industrial/Godown and Multi-storey Carpark and LPG Vehicle Repair Workshop,0.3707 ha,9.5,5,April 2001,2001/2002,1
TYTL 164,"Tsing Keung Street, Tsing Yi",LPG Vehicle Repair Workshop,0.6216 ha,2.5,2,April 2001,2001/2002,0
TYTL 168,"Tam Kon Shan Road, Tsing Yi",Shipyard,0.2215 ha,NA,1,April 2001,2001/2002,0
TYTL 169,"Tam Kon Shan Road, Tsing Yi",Shipyard,0.1685 ha,NA,0.5,April 2001,2001/2002,0
TYTL 161,"Tsing Keung Street, Tsing Yi",Concrete and/or Asphalt Production,0.4229 ha,2.5,2,August 2001,2001/2002,0
TYTL 162,"Tsing Keung Street, Tsing Yi",Concrete and/or Asphalt Production,0.4647 ha,2.5,2,August 2001,2001/2002,0
KIL 11158,"Site E/A3, West Kowloon Reclamation (Site B2)",Residential R1,1.0450 ha,6.5/1,50,April 2002,2002/2003,1
KIL 11146,"Site E/A3, West Kowloon Reclamation (Site B1)",Residential R1,1.1353 ha,6.5/1,50,April 2002,2002/2003,1
NKIL 6308,"Junction of King Fuk Street, King Tai Street and Prince Edward Road East, San Po Kong",Residential R1,1.2701 ha,9,50,April 2002,2002/2003,1
STTL 487,"Site 15, Area 77, Ma On Shan",Residential R2,1.4338 ha,5,50,April 2002,2002/2003,1
NKIL 6196,"Junction of Cornwall Street and Tat Chee Avenue, Kowloon Tong",Residential R3,1.4700 ha,1.903,50,April 2002,2002/2003,1
