Lot Number,Location,User,Site Area,Plot Ratio,Deposit (HK$ M),Estimated Earliest Site Available Date,Period,Rolled over
YLTL 458,"Junction of Fu Yip Street and Wang Yip Street, Tung Tau",Business,0.4748 ha,,,Jan-08,2007/2008,0
KIL 11120,Hung Hom Bay Reclamation Site D1,Residential R1,0.7470 ha,,,Feb-08,2007/2008,0
FSSTL 177,"Area 19, Sha Tau Kok Road",Residential R1,0.8900 ha,,,Feb-08,2007/2008,0
NKIL 6312,"Wang Chiu Road and Lam Lee Street, Kowloon Bay",Business,0.4297 ha,,,Mar-08,2007/2008,0
KIL11125,"Ex-CAS Training Centre, 204 Argyle Street",Residential R2,0.7284 ha,,,Mar-08,2007/2008,0
Lot 1588 DD 243,"Pik Sha Road, Silverstrand, Clear Water Bay",Residential R4,0.7650 ha,,,Mar-08,2007/2008,0
IL 8920,"Ex-Government Supplies Depot, Oil Street, North Point",Hotel / Residential / Commercial,1.1700 ha,,,Mar-09,2008/2009,1
NKIL 6311,"Junction of Sheung Yuet Road, Wang Tai Road and Wang Yuen Street, Kowloon Bay",Hotel,0.2579 ha,,,Aug-08,2008/2009,1
NKIL 6314,"Junction of Kai Cheung Road and Wang Kwong Road, Kowloon Bay",Hotel,0.6600 ha,,,Aug-08,2008/2009,1
NKIL 6269,"Junction of Wai Yip Street, Shun Yip Street and Hoi Bun Road, Kwun Tong",Hotel,0.7083 ha,,,Aug-08,2008/2009,1
TSWTL 26,"Area 108A, Tin Shui Wai",Hotel,0.6500 ha,,,Aug-08,2008/2009,1
Lot 1950 in DD 221,"Sai Kung Town, Area 4",Hotel,1.7940 ha,,,Sep-08,2008/2009,1
TWTL 393,"Yeung Uk Road, Tsuen Wan",Hotel,1.4160 ha,,,Dec-08,2008/2009,1
IL 9007,"103 Mt. Nicholson Road, The Peak, Hong Kong",Residential R3,2.3312 ha,,,Now,2008/2009,1
NKIL 6306,"1 Ede Road, Kowloon Tong",Residential R3,0.2399 ha,,,Now,2008/2009,1
Lot 676 in DD Peng Chau,Peng Chau,Residential R3,0.4564 ha,,,Now,2008/2009,1
Lot 734 in DD 4,"Mui Wo, Lantau",Residential R3,0.2419 ha,,,Now,2008/2009,1
FSSTL 225,"89-95 San Fung Avenue, Shek Wu Hui, Sheung Shui",Residential / Commercial,0.0306 ha,,,Now,2008/2009,1
FSSTL 202,"Area 21, Junction of Fan Leng Lau Road, Wo Muk Road and Luen Hing Street, Fanling",Residential R1,0.2560 ha,,,Now,2008/2009,1
FSSTL 177,"Area 19, Sha Tau Kok Road, Fanling",Residential R1,0.8900 ha,,,Now,2008/2009,1
TPTL 166,"Po Heung Street, Tai Po",Residential / Commercial (Including Public Car Park),0.3325 ha,,,Now,2008/2009,1
TMTL 430,"Area 52, Fu Tei, Tuen Mun",Residential R4,0.3173 ha,,,Now,2008/2009,1
Lot 2129 in DD 121,"Ping Kwai Road, Ping Shan, Yuen Long",Residential R3,0.6076 ha,,,Now,2008/2009,1
CWIL 175,"Lin Shing Road, Chai Wan",Residential R1,0.1804 ha,,,Jun-08,2008/2009,1
IL 8872,"Hospital Road, Hong Kong",Residential R1,0.0573 ha,,,Jun-08,2008/2009,1
KIL11125,"Ex-CAS Training Centre, 204 Argyle Street, Kowloon",Residential R2,0.7326 ha,,,Jun-08,2008/2009,1
RBL 1165,"Near 110 Repulse Bay Road, Hong Kong",Residential R3,0.4250 ha,,,Aug-08,2008/2009,1
RBL 1168,"Near 35 South Bay Road, Hong Kong",Residential R3,0.1338 ha,,,Aug-08,2008/2009,1
NKIL 6423,"3 and 5 Ede Road, Kowloon Tong",Residential R3,0.2808 ha,,,Aug-08,2008/2009,1
Lot 1588 in DD 243,"Pik Sha Road, Silverstrand, Clear Water Bay, Sai Kung",Residential R4,0.7615 ha,,,Aug-08,2008/2009,1
KIL 11184,"Ex-Ko Shan Road Customs & Excise Service Married Quarters, 7 Ko Shan Road, Hung Hom, Kowloon",Residential R1,0.1902 ha,,,Sep-08,2008/2009,1
KIL 11175,"Junction of Fat Kwong Street and Chung Hau Street, Homantin, Kowloon (Ex-Valley Road Estate Ph 2)",Residential R2,1.6151 ha,,,Oct-08,2008/2009,1
KIL 11120,"Hung Hom Bay Reclamation Site D1, Junction of Oi King Street and Hung Luen Road, Kowloon",Residential R2,0.7480 ha,,,Mar-09,2008/2009,1
IL 8949,"21, 23 and 25 Borrett Road, Mid-Levels West",Residential R2,0.7976 ha,,,Mar-09,2008/2009,1
NKIL 6195,"Cha Kwo Ling Road, Kwun Tong",Commercial (Including Public Car Park),0.4878 ha,,,Now,2008/2009,1
NKIL 6312,"Junction of Wang Chiu Road and Lam Lee Street, Kowloon Bay",Business,0.4297 ha,,,Now,2008/2009,1
NKIL 6313,"Cheung Yip Street, Kowloon Bay",Business,0.3795 ha,,,Now,2008/2009,1
Lot 1176 in DD 215,"Tui Min Hoi, Sai Kung",Commercial,0.1659 ha,,,Now,2008/2009,1
STTL 433,"Junction of On Yiu Street, On Kwan Street and On Lai Street, Shek Mun, Sha Tin",Business,0.8533 ha,,,Now,2008/2009,1
STTL 463,"Junction of On Yiu Street and On Kwan Street, Shek Mun, Sha Tin",Business,0.7997 ha,,,Now,2008/2009,1
IL 8941,"Central Market, Jubilee Street, Central",Commercial,0.4153 ha,,,Aug-08,2008/2009,1
YLTL 458,"Junction of Fu Yip Street and Wang Yip Street West, Tung Tau, Yuen Long",Business,0.4748 ha,,,Feb-09,2008/2009,1
IL 9020,"Western part of Ex-North Point Estate, North Point",Hotel,0.6000 ha,,,Mar-09,2008/2009,0
IL 8970,"373 Queen's Road East, Hong Kong",Hotel,0.0700 ha,,,Mar-09,2008/2009,0
KIL 11205,"Junction of Hung Luen Road and Wa Shun Street, Hung Hom Bay Reclamation, Kowloon",Hotel,1.6000 ha,,,Mar-09,2008/2009,0
StIL 91,"Hoi Fung Path, Stanley",Residential R3,0.0615 ha,,,Apr-08,2008/2009,0
Lot 673 in DD Peng Chau,"Tung Wan, Peng Chau (Site A)",Residential R3,0.1142 ha,,,Apr-08,2008/2009,0
Lot 674 in DD Peng Chau,"Tung Wan, Peng Chau (Site B)",Residential R3,0.1771 ha,,,Apr-08,2008/2009,0
Lot 1200 in DD 217,"Pak Sha Wan, Sai Kung",Residential R3,0.0190 ha,,,Apr-08,2008/2009,0
Lot 726 in DD 4,"Mui Wo, Lantau",Residential R3,0.2260 ha,,,Sep-08,2008/2009,0
Lot 1613 in DD 222,"Kap Pin Long, Sai Kung",Residential R4,0.1700 ha,,,Sep-08,2008/2009,0
NKIL 6493,"Inverness Road, Kowloon Tong",Residential R3,0.7040 ha,,,Mar-09,2008/2009,0
TCTL 37,"Tung Chung Area 55b, Lantau",Residential R2,2.6200 ha,,,Mar-09,2008/2009,0
Lot 750 in DD 85,"Queen's Hill, Fanling",Residential R3,16.4200 ha,,,Mar-09,2008/2009,0
TKOTL 76,Tseung Kwan O Area 66B,Residential R1,1.6100 ha,,,Mar-09,2008/2009,0
STTL 562,"Shatin Area 56A, Kau To (Site B5)",Residential R3,0.3910 ha,,,Mar-09,2008/2009,0
STTL 563,"Shatin Area 56A, Kau To (Site B6)",Residential R3,0.6060 ha,,,Mar-09,2008/2009,0
STTL 564,"Shatin Area 56A, Kau To (Site B7)",Residential R3,0.5200 ha,,,Mar-09,2008/2009,0
STTL 565,"Shatin Area 56A, Kau To (Site B1)",Residential R3,0.8480 ha,,,Mar-09,2008/2009,0
STTL 566,"Shatin Area 56A, Kau To (Site B2)",Residential R3,0.7780 ha,,,Mar-09,2008/2009,0
STTL 567,"Shatin Area 56A, Kau To (Site B3&4)",Residential R3,1.9100 ha,,,Mar-09,2008/2009,0
TPTL 200,"Pak Shek Kok Development Area, Phase 2, Site D1, Tai Po",Residential R3,2.0925 ha,,,Mar-09,2008/2009,0
TPTL 201,"Pak Shek Kok Development Area, Phase 2, Site D2, Tai Po",Residential R3,2.0925 ha,,,Mar-09,2008/2009,0
Lot 4309 in DD 124,"Tan Kwai Tsuen, Hung Shui Kiu, Yuen Long",Residential R3,1.1100 ha,,,Mar-09,2008/2009,0
KIL 11202,"Ex-Ho Man Tin Police Quarters, 81 Chung Hau Street, Homantin, Kowloon",Residential R2,0.4300 ha,,,Mar-09,2008/2009,0
NKIL 6498,"62 Begonia Road, Yau Yat Chuen, Kowloon Tong",Residential R3,0.2800 ha,,,Mar-09,2008/2009,0
IL 8998,"Chung Kong Road, adjacent to Shun Tak Centre, Hong Kong",Commercial,0.6028 ha,,,Mar-09,2008/2009,0
KIL 11111,"Junction of Hung Luen Road and Kin Wan Street, Hung Hom Bay Reclamation, Kowloon",Commercial,1.3900 ha,,,Mar-09,2008/2009,0
IL 8920,"Ex-Government Supplies Depot, Oil Street, North Point",Hotel / Residential / Commercial,1.1400 ha,,,Dec-09,2009/2010,1
NKIL 6311,"Junction of Sheung Yuet Road, Wang Tai Road and Wang Yuen Street, Kowloon Bay",Hotel,0.2579 ha,,,Now,2009/2010,1
NKIL 6314,"Junction of Kai Cheung Road and Wang Kwong Road, Kowloon Bay",Hotel,0.6600 ha,,,Now,2009/2010,1
NKIL 6269,"Junction of Wai Yip Street, Shun Yip Street and Hoi Bun Road, Kwun Tong",Hotel,0.7083 ha,,,Now,2009/2010,1
TSWTL 26,"Area 108A, Tin Shui Wai",Hotel,0.6500 ha,,,Now,2009/2010,1
Lot 1950 in DD 221,"Sai Kung Town, Area 4",Hotel,1.7940 ha,,,Now,2009/2010,1
IL 9020,"Western part of Ex-North Point Estate, North Point",Hotel,0.5360 ha,,,Dec-09,2009/2010,1
IL 8970,"373 Queen's Road East, Hong Kong",Hotel,0.0700 ha,,,Now,2009/2010,1
KIL 11205,"Junction of Hung Luen Road and Wa Shun Street, Hung Hom Bay Reclamation, Kowloon",Hotel,1.6000 ha,,,Dec-09,2009/2010,1
IL 9007,"103 Mt. Nicholson Road, The Peak, Hong Kong",Residential R3,2.3312 ha,,,Now,2009/2010,1
NKIL 6306,"1 Ede Road, Kowloon Tong",Residential R3,0.2399 ha,,,Now,2009/2010,1
Lot 676 in DD Peng Chau,Peng Chau,Residential R3,0.4564 ha,,,Now,2009/2010,1
Lot 734 in DD 4,"Mui Wo, Lantau",Residential R3,0.2419 ha,,,Now,2009/2010,1
FSSTL 225,"89-95 San Fung Avenue, Shek Wu Hui, Sheung Shui",Residential / Commercial,0.0306 ha,,,Now,2009/2010,1
FSSTL 202,"Area 21, Junction of Fan Leng Lau Road, Wo Muk Road and Luen Hing Street, Fanling",Residential R1,0.2560 ha,,,Now,2009/2010,1
FSSTL 177,"Area 19, Sha Tau Kok Road, Fanling",Residential R1,0.8900 ha,,,Now,2009/2010,1
TMTL 430,"Area 52, Fu Tei, Tuen Mun",Residential R4,0.3173 ha,,,Mar-10,2009/2010,1
Lot 2129 in DD 121,"Ping Kwai Road, Ping Shan, Yuen Long",Residential R3,0.6076 ha,,,Now,2009/2010,1
CWIL 175,"Lin Shing Road, Chai Wan",Residential R1,0.1804 ha,,,Now,2009/2010,1
IL 8872,"Hospital Road, Hong Kong",Residential R1,0.0573 ha,,,Now,2009/2010,1
KIL11125,"Ex-CAS Training Centre, 204 Argyle Street, Kowloon",Residential R2,0.7326 ha,,,Now,2009/2010,1
RBL 1165,"Near 110 Repulse Bay Road, Hong Kong",Residential R3,0.4250 ha,,,Now,2009/2010,1
RBL 1168,"Near 35 South Bay Road, Hong Kong",Residential R3,0.1338 ha,,,Now,2009/2010,1
NKIL 6423,"3 and 5 Ede Road, Kowloon Tong",Residential R3,0.2808 ha,,,Now,2009/2010,1
Lot 1588 in DD 243,"Pik Sha Road, Silverstrand, Clear Water Bay, Sai Kung",Residential R4,0.7615 ha,,,Now,2009/2010,1
KIL 11184,"Ex-Ko Shan Road Customs & Excise Service Married Quarters, 7 Ko Shan Road, Hung Hom, Kowloon",Residential R1,0.1902 ha,,,Jun-09,2009/2010,1
KIL 11175,"Junction of Fat Kwong Street and Chung Hau Street, Homantin, Kowloon (Ex-Valley Road Estate Ph 2)",Residential R2,1.6151 ha,,,Jun-09,2009/2010,1
KIL 11120,"Hung Hom Bay Reclamation Site D1, Junction of Oi King Street and Hung Luen Road, Kowloon",Residential R2,0.7551 ha,,,Jun-09,2009/2010,1
IL 8949,"21, 23 and 25 Borrett Road, Mid-Levels West",Residential R2,0.7976 ha,,,Mar-10,2009/2010,1
StIL 91,"Hoi Fung Path, Stanley",Residential R3,0.0615 ha,,,Now,2009/2010,1
Lot 673 in DD Peng Chau,"Tung Wan, Peng Chau (Site A)",Residential R3,0.1142 ha,,,Now,2009/2010,1
Lot 674 in DD Peng Chau,"Tung Wan, Peng Chau (Site B)",Residential R3,0.1780 ha,,,Now,2009/2010,1
Lot 726 in DD 4,"Mui Wo, Lantau",Residential R3,0.2260 ha,,,Now,2009/2010,1
Lot 1613 in DD 222,"Kap Pin Long, Sai Kung",Residential R4,0.1733 ha,,,Now,2009/2010,1
NKIL 6493,"Inverness Road, Kowloon Tong",Residential R3,0.7040 ha,,,Oct-09,2009/2010,1
TCTL 37,"Tung Chung Area 55b, Lantau",Residential R2,2.6200 ha,,,Now,2009/2010,1
Lot 750 in DD 85,"Queen's Hill, Fanling",Residential R3,16.4200 ha,,,Mar-10,2009/2010,1
TKOTL 76,Tseung Kwan O Area 66B,Residential R1,1.2300 ha,,,Oct-09,2009/2010,1
STTL 562,"Shatin Area 56A, Kau To (Site B5)",Residential R3,0.4680 ha,,,Now,2009/2010,1
STTL 563,"Shatin Area 56A, Kau To (Site B6)",Residential R3,0.5950 ha,,,Now,2009/2010,1
STTL 564,"Shatin Area 56A, Kau To (Site B7)",Residential R3,0.5480 ha,,,Now,2009/2010,1
STTL 565,"Shatin Area 56A, Kau To (Site B1)",Residential R3,0.8590 ha,,,Now,2009/2010,1
STTL 566,"Shatin Area 56A, Kau To (Site B2)",Residential R3,0.8080 ha,,,Now,2009/2010,1
STTL 567,"Shatin Area 56A, Kau To (Site B3&4)",Residential R3,1.9700 ha,,,Now,2009/2010,1
TPTL 200,"Pak Shek Kok Development Area, Phase 2, Site D1, Tai Po",Residential R3,2.0925 ha,,,Now,2009/2010,1
TPTL 201,"Pak Shek Kok Development Area, Phase 2, Site D2, Tai Po",Residential R3,2.0925 ha,,,Now,2009/2010,1
Lot 4309 in DD 124,"Tan Kwai Tsuen, Hung Shui Kiu, Yuen Long",Residential R3,1.1100 ha,,,Jun-09,2009/2010,1
NKIL 6498,"62 Begonia Road, Yau Yat Chuen, Kowloon Tong",Residential R3,0.2810 ha,,,Now,2009/2010,1
NKIL 6195,"Cha Kwo Ling Road, Kwun Tong",Commercial (Including Public Car Park),0.4878 ha,,,Now,2009/2010,1
NKIL 6312,"Junction of Wang Chiu Road and Lam Lee Street, Kowloon Bay",Business,0.4297 ha,,,Now,2009/2010,1
NKIL 6313,"Cheung Yip Street, Kowloon Bay",Business,0.3795 ha,,,Now,2009/2010,1
Lot 1176 in DD 215,"Tui Min Hoi, Sai Kung",Commercial,0.1659 ha,,,Now,2009/2010,1
STTL 433,"Junction of On Yiu Street, On Kwan Street and On Lai Street, Shek Mun, Sha Tin",Business,0.8533 ha,,,Now,2009/2010,1
STTL 463,"Junction of On Yiu Street and On Kwan Street, Shek Mun, Sha Tin",Business,0.7997 ha,,,Now,2009/2010,1
IL 8941,"Central Market, Jubilee Street, Central",Commercial,0.4153 ha,,,Now,2009/2010,1
YLTL 458,"Junction of Fu Yip Street and Wang Yip Street West, Tung Tau, Yuen Long",Business,0.4748 ha,,,Now,2009/2010,1
KIL 11111,"Junction of Hung Luen Road and Kin Wan Street, Hung Hom Bay Reclamation, Kowloon",Commercial,1.3900 ha,,,Dec-09,2009/2010,1
STTL 525,"Shatin Area 56A, Kau To (Site A)",Residential R2,2.1900 ha,,,Oct-09,2009/2010,0
STTL 482,"Site 11, Area 77, Ma On Shan, Sha Tin",Commercial,0.5220 ha,,,Mar-10,2009/2010,0
STTL 412,"Junction of On Kwan Street and On Lai Street, Shek Mun, Sha Tin",Business,0.5900 ha,,,Dec-09,2009/2010,0
TCTL 11,"Area 3A, Tung Chung, Lantau",Commercial,1.0000 ha,,,Dec-09,2009/2010,0
IL 8920,"Ex-Government Supplies Depot, Oil Street, North Point",Hotel and Residential / Commercial,0.7887 ha,,,Now,2010/2011,1
IL 9007,"103 Mt. Nicholson Road, The Peak, Hong Kong",Residential R3,2.3312 ha,,,Now,2010/2011,1
IL 8949,"21, 23 and 25 Borrett Road, Mid-Levels West",Residential R2,1.0488 ha,,,Now,2010/2011,1
KIL 11175,"Junction of Fat Kwong Street and Chung Hau Street, Homantin, Kowloon (Ex-Valley Road Estate Ph 2)",Residential R2,1.6151 ha,,,Now,2010/2011,1
NKIL 6493,"Inverness Road, Kowloon Tong",Residential R3,0.7046 ha,,,Now,2010/2011,1
IL 8963,"Former Lingnan College Site, Stubbs Road",Residential R3,1.4900 ha,,,Mar-11,2010/2011,0
NKIL 6311,"Junction of Sheung Yuet Road, Wang Tai Road and Wang Yuen Street, Kowloon Bay",Hotel,0.2579 ha,,,Now,2010/2011,1
NKIL 6314,"Junction of Kai Cheung Road and Wang Kwong Road, Kowloon Bay",Hotel,0.6600 ha,,,Now,2010/2011,1
NKIL 6269,"Junction of Wai Yip Street, Shun Yip Street and Hoi Bun Road, Kwun Tong",Hotel,0.7083 ha,,,Now,2010/2011,1
TSWTL 26,"Area 108A, Tin Shui Wai",Hotel,0.6500 ha,,,Now,2010/2011,1
Lot 1950 in DD 221,"Sai Kung Town, Area 4",Hotel,1.7940 ha,,,Now,2010/2011,1
IL 9020,"Western part of Ex-North Point Estate, North Point",Hotel,0.5369 ha,,,Now,2010/2011,1
IL 8970,"373 Queen's Road East, Hong Kong",Hotel,0.0717 ha,,,Now,2010/2011,1
KIL 11205,"Junction of Hung Luen Road and Wa Shun Street, Hung Hom Bay Reclamation, Kowloon",Hotel,1.5623 ha,,,Now,2010/2011,1
NKIL 6306,"1 Ede Road, Kowloon Tong",Residential R3,0.2399 ha,,,Now,2010/2011,1
NKIL 6423,"3 and 5 Ede Road, Kowloon Tong",Residential R3,0.2808 ha,,,Now,2010/2011,1
Lot 676 in DD Peng Chau,Peng Chau,Residential R3,0.4564 ha,,,Now,2010/2011,1
Lot 734 in DD 4,"Mui Wo, Lantau",Residential R3,0.2419 ha,,,Now,2010/2011,1
FSSTL 202,"Area 21, Junction of Fan Leng Lau Road, Wo Muk Road and Luen Hing Street, Fanling",Residential R1,0.2560 ha,,,Now,2010/2011,1
FSSTL 177,"Area 19, Sha Tau Kok Road, Fanling",Residential R1,0.8900 ha,,,Now,2010/2011,1
Lot 2129 in DD 121,"Ping Kwai Road, Ping Shan, Yuen Long",Residential R3,0.6076 ha,,,Now,2010/2011,1
CWIL 175,"Lin Shing Road, Chai Wan",Residential R1,0.1804 ha,,,Now,2010/2011,1
KIL11125,"Ex-CAS Training Centre, 204 Argyle Street, Kowloon",Residential R2,0.7326 ha,,,Now,2010/2011,1
RBL 1165,"Near 110 Repulse Bay Road, Hong Kong",Residential R3,0.4250 ha,,,Now,2010/2011,1
RBL 1168,"Near 35 South Bay Road, Hong Kong",Residential R3,0.1338 ha,,,Now,2010/2011,1
Lot 1588 in DD 243,"Pik Sha Road, Silverstrand, Clear Water Bay, Sai Kung",Residential R4,0.7615 ha,,,Now,2010/2011,1
KIL 11184,"Ex-Ko Shan Road Customs & Excise Service Married Quarters, 7 Ko Shan Road, Hung Hom, Kowloon",Residential R1,0.1902 ha,,,Now,2010/2011,1
KIL 11120,"Hung Hom Bay Reclamation Site D1, Junction of Oi King Street and Hung Luen Road, Kowloon",Residential R2,0.7551 ha,,,Now,2010/2011,1
StIL 91,"Hoi Fung Path, Stanley",Residential R3,0.0615 ha,,,Now,2010/2011,1
Lot 673 in DD Peng Chau,"Tung Wan, Peng Chau (Site A)",Residential R3,0.1142 ha,,,Now,2010/2011,1
Lot 674 in DD Peng Chau,"Tung Wan, Peng Chau (Site B)",Residential R3,0.1780 ha,,,Now,2010/2011,1
Lot 726 in DD 4,"Mui Wo, Lantau",Residential and Commercial,0.2260 ha,,,Now,2010/2011,1
Lot 1613 in DD 222,"Kap Pin Long, Sai Kung",Residential R4,0.1733 ha,,,Now,2010/2011,1
TCTL 37,"Tung Chung Area 55b, Lantau",Residential R2,2.6200 ha,,,Now,2010/2011,1
STTL 562,"Shatin Area 56A, Kau To (Site B5)",Residential R3,0.4680 ha,,,Now,2010/2011,1
STTL 563,"Shatin Area 56A, Kau To (Site B6)",Residential R3,0.5950 ha,,,Now,2010/2011,1
STTL 564,"Shatin Area 56A, Kau To (Site B7)",Residential R3,0.5480 ha,,,Now,2010/2011,1
STTL 565,"Shatin Area 56A, Kau To (Site B1)",Residential R3,0.8590 ha,,,Now,2010/2011,1
STTL 566,"Shatin Area 56A, Kau To (Site B2)",Residential R3,0.8080 ha,,,Now,2010/2011,1
STTL 567,"Shatin Area 56A, Kau To (Site B3&4)",Residential R3,1.9700 ha,,,Now,2010/2011,1
STTL 525,"Shatin Area 56A, Kau To (Site A)",Residential R2,2.3085 ha,,,Now,2010/2011,1
Lot 4309 in DD 124,"Tan Kwai Tsuen, Hung Shui Kiu, Yuen Long",Residential R3,1.1192 ha,,,Now,2010/2011,1
NKIL 6498,"62 Begonia Road, Yau Yat Chuen, Kowloon Tong",Residential R3,0.2810 ha,,,Now,2010/2011,1
TMTL 430,"Area 52, Fu Tei, Tuen Mun",Residential R4,0.3173 ha,,,Mar-11,2010/2011,1
NKIL 6195,"Cha Kwo Ling Road, Kwun Tong",Commercial (Including Public Car Park),0.4878 ha,,,Now,2010/2011,1
NKIL 6312,"Junction of Wang Chiu Road and Lam Lee Street, Kowloon Bay",Business,0.4297 ha,,,Now,2010/2011,1
NKIL 6313,"Cheung Yip Street, Kowloon Bay",Business,0.3795 ha,,,Now,2010/2011,1
Lot 1176 in DD 215,"Tui Min Hoi, Sai Kung",Commercial,0.1659 ha,,,Now,2010/2011,1
YLTL 458,"Junction of Fu Yip Street and Wang Yip Street West, Tung Tau, Yuen Long",Business,0.4748 ha,,,Now,2010/2011,1
KIL 11111,"Junction of Hung Luen Road and Kin Wan Street, Hung Hom Bay Reclamation, Kowloon",Commercial,1.3703 ha,,,Now,2010/2011,1
TCTL 11,"Area 3A, Tung Chung, Lantau",Commercial,1.0026 ha,,,Apr-10,2010/2011,1
STTL 482,"Site 11, Area 77, Ma On Shan, Sha Tin",Commercial,0.5090 ha,,,Aug-10,2010/2011,1
RBL 1190,"8-12 Deep Water Bay Drive, Shouson Hill",Residential R3,1.0249 ha,,,Dec-10,2010/2011,0
Lot 724 in DD 332,"Cheung Sha Site 406, Lantau",Residential R4,0.7390 ha,,,Nov-10,2010/2011,0
Lot 726 in DD 332,"Cheung Sha Site 407, Lantau",Residential R4,0.7540 ha,,,Nov-10,2010/2011,0
Lot 1282 in DD 253,"Junction of Pak Shek Wo San Tsuen Road and Clear Water Bay Road, Sai Kung",Residential R3,0.2384 ha,,,Mar-11,2010/2011,0
Lot 678 in DD Peng Chau,Peng Chau,Residential and Commercial,0.5200 ha,,,Aug-10,2010/2011,0
HHIL 556,"5-23 Lee Kung Street, Hung Hom",Residential R1,0.1300 ha,,,Sep-10,2010/2011,0
Lot 2086 in DD 105,"Ngau Tam Mei, off San Tam Road, near Maple Gardens, Yuen Long",Residential R4,2.3580 ha,,,Mar-11,2010/2011,0
TMTL 490,"Castle Peak Road, Tai Lam Chung, Tuen Mun",Residential R3,0.2050 ha,,,Jan-11,2010/2011,0
TMTL 434,"Junction of Ka Wo Li Hill Road and Castle Peak Road, Area 55, So Kwun Wat, Tuen Mun",Residential R3,0.3600 ha,,,Jan-11,2010/2011,0
HHIL 555,"Junction of Bulkeley Street and Gillies Avenue South, Hung Hom",Residential R1,0.0575 ha,,,Mar-11,2010/2011,0
IL 8949,"21, 23 and 25 Borrett Road, Mid-Levels West",Residential R2,1.0488 ha,,,Apr-11,2011/2012,1
KIL 11184,"Ex-Ko Shan Road Customs & Excise Service Married Quarters, 7 Ko Shan Road, Hung Hom, Kowloon",Residential R1,0.1902 ha,,,Apr-11,2011/2012,1
IL 8963,"Former Lingnan College Site, Stubbs Road",Residential R3,1.4900 ha,,,Apr-11,2011/2012,1
IL 8920,"Ex-Government Supplies Depot, Oil Street, North Point",Hotel and Residential / Commercial,0.7887 ha,,,Jun-11,2011/2012,1
Lot 1950 in DD 221,"Sai Kung Town, Area 4",Hotel,1.7940 ha,,,Apr-11,2011/2012,1
IL 8970,"373 Queen's Road East, Hong Kong",Hotel,0.0717 ha,,,Apr-11,2011/2012,1
NKIL 6269,"Junction of Wai Yip Street, Shun Yip Street and Hoi Bun Road, Kwun Tong",Business,0.7083 ha,,,Apr-11,2011/2012,1
NKIL 6314,"Junction of Kai Cheung Road and Wang Kwong Road, Kowloon Bay",Commercial,0.6600 ha,,,Apr-11,2011/2012,1
TSWTL 26,"Area 108A, Tin Shui Wai",Commercial,0.6500 ha,,,Apr-11,2011/2012,1
STTL 463,"Junction of On Yiu Street and On Kwan Street, Shek Mun, Sha Tin",Business,0.7997 ha,,,Apr-11,2011/2012,0
STTL 412,"Junction of On Kwan Street and On Lai Street, Shek Mun, Sha Tin",Business,0.6540 ha,,,Jul-11,2011/2012,0
Lot 2086 in DD 105,"Ngau Tam Mei, off San Tam Road, near Maple Gardens, Yuen Long",Residential R4,2.3480 ha,,,Apr-11,2011/2012,1
Lot 2129 in DD 121,"Ping Kwai Road, Ping Shan, Yuen Long",Residential R3,0.6076 ha,,,Apr-11,2011/2012,1
RBL 1165,"Near 110 Repulse Bay Road, Hong Kong",Residential R3,0.4250 ha,,,Apr-11,2011/2012,1
RBL 1168,"Near 35 South Bay Road, Hong Kong",Residential R3,0.1338 ha,,,Apr-11,2011/2012,1
RBL 1190,"8-12 Deep Water Bay Drive, Shouson Hill",Residential R3,1.0249 ha,,,Apr-11,2011/2012,1
StIL 91,"Hoi Fung Path, Stanley",Residential R3,0.0615 ha,,,Apr-11,2011/2012,1
Lot 1588 in DD 243,"Pik Sha Road, Silverstrand, Clear Water Bay, Sai Kung",Residential R4,0.7615 ha,,,Apr-11,2011/2012,1
Lot 1613 in DD 222,"Kap Pin Long, Sai Kung",Residential R4,0.1733 ha,,,Apr-11,2011/2012,1
Lot 1282 in DD 253,"Junction of Pak Shek Wo San Tsuen Road and Clear Water Bay Road, Sai Kung",Residential R3,0.2400 ha,,,Apr-11,2011/2012,1
NKIL 6498,"62 Begonia Road, Yau Yat Chuen, Kowloon Tong",Residential R3,0.2810 ha,,,Apr-11,2011/2012,1
Lot 673 in DD Peng Chau,"Tung Wan, Peng Chau (Site A)",Residential R3,0.1142 ha,,,Apr-11,2011/2012,1
Lot 674 in DD Peng Chau,"Tung Wan, Peng Chau (Site B)",Residential R3,0.1780 ha,,,Apr-11,2011/2012,1
Lot 676 in DD Peng Chau,Peng Chau,Residential R3,0.4564 ha,,,Apr-11,2011/2012,1
Lot 678 in DD Peng Chau,Peng Chau,Residential and Commercial,0.5200 ha,,,Apr-11,2011/2012,1
Lot 726 in DD 4,"Mui Wo, Lantau",Residential and Commercial,0.2260 ha,,,Apr-11,2011/2012,1
Lot 724 in DD 332,"Cheung Sha Site 406, Lantau",Residential R4,0.7410 ha,,,Apr-11,2011/2012,1
Lot 726 in DD 332,"Cheung Sha Site 407, Lantau",Residential R4,0.7550 ha,,,Apr-11,2011/2012,1
STTL 525,"Shatin Area 56A, Kau To (Site A)",Residential R2,2.3056 ha,,,Apr-11,2011/2012,1
STTL 562,"Shatin Area 56A, Kau To (Site B5)",Residential R3,0.4680 ha,,,Apr-11,2011/2012,1
STTL 563,"Shatin Area 56A, Kau To (Site B6)",Residential R3,0.5950 ha,,,Apr-11,2011/2012,1
