,OBJECTID,DATASET_EN,ADDRESS_EN,SEARCH01_EN,SEARCH02_EN,NSEARCH01_EN,NSEARCH02_EN,NSEARCH03_EN,NSEARCH04_EN,NSEARCH05_EN,NSEARCH06_EN,NSEARCH07_EN,NSEARCH08_EN,NSEARCH09_EN,NSEARCH10_EN,NORTHING,EASTING,LATITUDE,LONGITUDE,LASTUPDATE,GeometryEasting,GeometryNorthing,max_item
336,337,Summary of Gross Floor Area (GFA) Concessions and Related Information of Private Developments,"2 Yan Shing Lane, Fanling, New Territories",2021,NEW TERRITORIES,NT36/2021(OP),NT36/2021(OP),School extension,Non-domestic,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/NT2021036GFACe.pdf,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,838716.7000000001,832425.9,22.48801931,114.13953809,2024-02-28T11:23:23,832425.9000000004,838716.6999999993,
337,338,Summary of Gross Floor Area (GFA) Concessions and Related Information of Private Developments,"1 Lohas Park Road, Tseung Kwan O Area 86, Site J, Tseung Kwan O, New Territories",2021,NEW TERRITORIES,PR3/2021(OP),PR3/2021(OP),Apartment with residents' recreational facilities with kindergarten cum child care centre (phase 1),Composite,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/PR2021003GFACe.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/PR2021003GR.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/PR2021003EN.pdf,Provisional Assessment Rating: Gold (as at OP),https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/PR2021003RTTV.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/PR2021003OTTV.pdf,817120.3,845703.8,22.2929713,114.26844108,2024-02-28T11:23:23,845703.7999999998,817120.3000000007,
338,339,Summary of Gross Floor Area (GFA) Concessions and Related Information of Private Developments,"48-56 Fuk Lo Tsun Road, Kowloon",2018,KOWLOON,KN37/2018(OP),KN37/2018(OP),Apartment/Commercial,Composite,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/KN2018037GFACe.pdf,Not Applicable,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/KN2018037EN.pdf,Unclassified,Not Applicable,Not Applicable,821158.3,837390.8,22.32946249,114.18777306,2024-02-28T11:23:23,837390.7999999998,821158.3000000007,
339,340,Summary of Gross Floor Area (GFA) Concessions and Related Information of Private Developments,"5 Bonham Strand West, Hong Kong",2019,HONG KONG ISLAND,HK65/2019(OP),HK65/2019(OP),Hotel,Non-domestic,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/HK2019065GFACe.pdf,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,816424.7000000001,833419.8,22.28671341,114.14923626,2024-02-28T11:23:23,833419.7999999998,816424.6999999993,
340,341,Summary of Gross Floor Area (GFA) Concessions and Related Information of Private Developments,"33 To Shek Street, Sha Tin, New Territories",2022,NEW TERRITORIES,NT5/2022(OP),NT5/2022(OP),Apartmentwith residents'recreational facilities(phase 1),Domestic,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/NT2022005GFACe.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/NT2022005GR.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/NT2022005EN.pdf,Provisional Assessment Rating: Bronze (as at OP),https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/NT2022005RTTV.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/NT2022005OTTV.pdf,826264.6,838752.8,22.37557371,114.20100098,2024-02-28T11:23:23,838752.7999999998,826264.5999999996,True
341,342,Summary of Gross Floor Area (GFA) Concessions and Related Information of Private Developments,"1 Tai Wai New Village Road, Tai Wai, Sha Tin, New Territories",2021,NEW TERRITORIES,NT31/2021(OP),NT31/2021(OP),Gymnasium/indoor sport hall,Non-domestic,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/NT2021031GFACe.pdf,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,826141.9,835901.3,22.37446726,114.17331405,2024-02-28T11:23:23,835901.2999999998,826141.9000000004,
342,343,Summary of Gross Floor Area (GFA) Concessions and Related Information of Private Developments,"176 Nathan Road, Kowloon",2018,KOWLOON,KN48/2018(OP),KN48/2018(OP),"Sprinkler pump room, F.S. and potable water pump room",Non-domestic,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/KN2018048GFACe.pdf,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,818182.5,835772.4,22.30258984,114.17206475,2024-02-28T11:23:23,835772.4000000004,818182.5,
343,344,Summary of Gross Floor Area (GFA) Concessions and Related Information of Private Developments,"13, 15 & 17 Western Street, Hong Kong",2021,HONG KONG ISLAND,HK37/2021(OP),HK37/2021(OP),Apartment/Commercial with residents' recreational facilities,Composite,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/HK2021037GFACe.pdf,Not Applicable,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/HK2021037EN.pdf,Provisional Assessment Rating: Gold (as at OP),https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/HK2021037RTTV.pdf,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/HK2021037OTTV.pdf,816328.7000000001,832528.1,22.28584483,114.14058342,2024-02-28T11:23:23,832528.0999999996,816328.6999999993,
344,345,Summary of Gross Floor Area (GFA) Concessions and Related Information of Private Developments,"15 King's Park Rise, Kowloon",2019,KOWLOON,KN25/2019(OP),KN25/2019(OP),Water meter cabinet,Non-domestic,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/KN2019025GFACe.pdf,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,819066.3,836044.6,22.31057069,114.17470616,2024-02-28T11:23:23,836044.5999999996,819066.3000000007,
345,346,Summary of Gross Floor Area (GFA) Concessions and Related Information of Private Developments,"18 Chater Road, Hong Kong",2021,HONG KONG ISLAND,HK10/2021(OP),HK10/2021(OP),"Restaurant extension, Staircase lobby extension, Staircase enclosure (Phase 2C)",Non-domestic,https://www.bd.gov.hk/doc/en/resources/codes-and-references/notices-and-reports/GFA/GFA_c/HK2021010GFACe.pdf,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,815855.7000000001,834387.6,22.28157584,114.1586286,2024-02-28T11:23:23,834387.5999999996,815855.6999999993,
