"ipa_ref","manufacturer_en","manufacturer_ch","location_of_prefabrication_factory_en","location_of_prefabrication_factory_ch","mic_type_en","mic_type_ch","model_no","module_type","intended_use_en","intended_use_ch","intended_maximum_building_height","intended_maximum_storey","date_of_acceptance","general_layout","letter_of_acceptance"
"MiC 5/2024","Wui Wing International Development Company Limited","Wui Wing International Development Company Limited","Foshan, Guangdong, ChinaGuangzhou, Guangdong, ChinaTaishan, Guangdong, China","佛山, 廣東, 中國廣州, 廣東, 中國台山, 廣東, 中國","Steel","鋼材","WY-M01","Type A, Type A1, Type B and Type C","Domestic","住用","49","14","29/4/2024","https://www.bd.gov.hk/doc/en/resources/codes-and-references/mic/MIC052024_GL.pdf","https://www.bd.gov.hk/doc/en/resources/codes-and-references/mic/MIC0052024_IPA.pdf"
"MiC 6/2024","珠海市睿住建築科技有限公司","珠海市睿住建築科技有限公司","Huizhou, Guangdong, China","惠州, 廣東, 中國","Concrete","混凝土","RS-MiC No.A ","Type A and Type B","Domestic","住用","129.56","39","30/4/2024","","https://www.bd.gov.hk/doc/en/resources/codes-and-references/mic/MIC062024_IPA.pdf"
"MiC 7/2024","Matrix Living International","Matrix Living International","Foshan, Guangdong, China","佛山, 廣東, 中國","Concrete","混凝土","MATRIX C40","A and B","Domestic","住用","129.56","39","7/6/2024","","https://www.bd.gov.hk/doc/en/resources/codes-and-references/mic/MIC072024_IPA.pdf"
"MiC 8/2024","AluHouse Technology (GD) Company Limited","AluHouse Technology (GD) Company Limited","Zhaoqing City, Guangdong, China","肇慶市, 廣東, 中國","Steel","鋼材","ALULPH","1, 1R, 2, 2R, 3, 4, 5, 6, 7 and 8","Domestic","住用","60.32","20","24/7/2024","","https://www.bd.gov.hk/doc/en/resources/codes-and-references/mic/MIC082024_IPA.pdf"
"MiC 9/2024","Orientfunds Precast Ltd.","Orientfunds Precast Ltd.","Dongguan, Guangdong, China","東莞, 廣東, 中國","Concrete","混凝土","SF-IPA-01","L1, L2, L3, L4, L5, L6, BA1, BA1R, BA2, BA3, K1, K2, K3, K4, K5, K6, K7, K8, K9, K10, B1, B1R, B2, B2R, B3, B3R, B4, B5, B6, B7, B8, B9, B10, B11, B12, B13, B14, B15, B16 and PD1","Domestic","住用","59.98","15","31/7/2024","","https://www.bd.gov.hk/doc/en/resources/codes-and-references/mic/MIC092024_IPA.pdf"
"MiC 10/2024","CNQC Intelligent Construction (HK) Limited","CNQC Intelligent Construction (HK) Limited","Zhuhai, Guangdong, ChinaFoshan City, Guangdong, China","珠海, 廣東, 中國佛山市, 廣東, 中國","Steel","鋼材","CA600918","U01/BL-01, U01/T-02, U02/TL-01, U02/B-02, U03/BT-01, U04/L-01, U04/BT-02, U05/BT-01, U05/BL-02, U06/BT-01, U07/BL-01, U07/T-02, U08/BL-01, U08/BT-02, U09/BL-01, U09/T-02, U10/TL-01, U10/B-02, U11/BT-01, U12/L-01, U12/BT-02, U13/BT-01, U13/BL-02, U14/BT-01, U15/BL-01, U15/T-02, U16/BL-01, U16/BT-02, GU01/BL-01, GU01/T-02, GU02/TL-01, GU02/B-02, GU03/BT-01, GU04/L-01, GU04/BT-02, GU05/BT-01, GU05/BL-02, GU06/BT-01, GU07/BL-01, GU07/T-02, GU08/BL-01, GU08/BT-02, GU09/BL-01, GU09/T-02, GU10/TL-01, GU10/B-02, GU11/BT-01, GU12/L-01, GU12/BT-02, GU13/BT-01, GU13/BL-02, GU14/BT-01, GU15/BL-01, GU15/T-02, GU16/BL-01, GU16/BT-02","Domestic","住用","95.52","31","15/8/2024","","https://www.bd.gov.hk/doc/en/resources/codes-and-references/mic/MIC0102024_IPA.pdf"
"MiC 11/2024","Dongguan Pristine Metal Works Limited","Dongguan Pristine Metal Works Limited","Dongguan, Guangdong, China","東莞，廣東，中國","Steel","鋼材","GCL.MIC/S/01","Module No.1, Module No.1R, Module No.2, Module No.2R, Module No.3, Module No.3R, Module No.4, Module No.4R, Module No.5, Module No.6, Module No.7, Module No.8, Module No.9, Module No.10, Module No.10R, Module No.11 and Module No.11R","Domestic","住用","64.8","20","15/8/2024","","https://www.bd.gov.hk/doc/en/resources/codes-and-references/mic/MIC112024_IPA.pdf"
"MiC 12/2024","I-Tech Modular Construction Company Limited","I-Tech Modular Construction Company Limited","Dongguan City, Guangdong, China","東莞市, 廣東, 中國","Steel","鋼材","MIC-ITECH-S01","Module No.1, Module No.2, Module No.3, Module No.4, Module No.5, Module No.6, Module No.7, Module No.8","Domestic","住用","61.38","20","15/8/2024","","https://www.bd.gov.hk/doc/en/resources/codes-and-references/mic/MIC0122024_IPA.pdf"
"MiC 13/2024","Zhuhai Eastern Heavy Industry Co., Limited","Zhuhai Eastern Heavy Industry Co., Limited","Zhuhai City, Guangdong, China","珠海市, 廣東, 中國","Concrete","混凝土","MIC-EASTERN-RC-01","Module No. 1, Module No. 2, Module No. 3, Module No. 4, Module No. 5, Module No. 6, Module No. 7, Module No. 8, Module No. 9, Module No. 10","Domestic","住用","124.5","40","16/8/2024","","https://www.bd.gov.hk/doc/en/resources/codes-and-references/mic/MIC0132024_IPA.pdf"
"MiC 14/2024","Penta-Ocean Construction Co. Ltd.","Penta-Ocean Construction Co. Ltd.","Dongguan City, Guangdong, China","東莞市, 廣東, 中國","Concrete","混凝土","POC(MIC)-C01","Type 1A, Type 1B, Type 1B(R, Type 1C, Type 1D, Type 1D(R, Type 2A, Type 2A(R, Type 2B, Type 3","Hostel","宿舍","21.5","5","4/9/2024","","https://www.bd.gov.hk/doc/en/resources/codes-and-references/mic/MIC0142024_IPA.pdf"
"MiC 15/2024","Shui On Construction Co., Ltd.","瑞安建築有限公司","Guangzhou City, Guangdong, China","廣州市, 廣東, 中國","Concrete","混凝土","SOC-RC-MIC-23.01","M1, M1(H, M1A, M1A(H, M1B, M2, M2(H, M2A, M3, M3(H, M4, M4(H, M4A, M5, M5(H, M6, M6(H, M8A, M8A(H, M8B, M8B(H, M8C, M8D, M8E, M13, M13A, M13B, M14, M14A, M14B, M15, M15A, M15B, M16, M16(H, M16A, M17, M17(H, M17A, M18, M18A, M18B","Domestic","住用","95.55","28","4/9/2024","","https://www.bd.gov.hk/doc/en/resources/codes-and-references/mic/MIC0152024_IPA.pdf"
"MiC 16/2024","Aluhouse Technology (GD) Company Limited","Aluhouse Technology (GD) Company Limited","Zhaoqing, Guangdong, China","肇慶, 廣東, 中國","Concrete","混凝土","ALURC40","Type A1, Type A1R, Type A2, Type A3, Type B1, Type B1R and Type B2","Domestic","住用","131.65","40","17/9/2024","https://www.bd.gov.hk/doc/en/resources/codes-and-references/mic/MIC162024_GL.pdf","https://www.bd.gov.hk/doc/en/resources/codes-and-references/mic/MIC162024_IPA.pdf"
"MiC 17/2024","China Land MiC Integration Co., Limited","China Land MiC Integration Co., Limited","Qingyuan, Guangdong, China","清遠, 廣東, 中國","Concrete","混凝土","CHINA LAND RC-01 ","Type A and Type B","Domestic","住用","129.56","39","17/9/2024","https://www.bd.gov.hk/doc/en/resources/codes-and-references/mic/MIC172024_GL.pdf","https://www.bd.gov.hk/doc/en/resources/codes-and-references/mic/MIC172024_IPA.pdf"
"MiC 18/2024","Art Modular Integrated Construction Co. Ltd.","Art Modular Integrated Construction Co. Ltd.","Zhuhai, Guangdong, China","珠海, 廣東, 中國","Concrete","混凝土","MIC-RC-01","Type A and Type B","Domestic","住用","129.56","39","26/9/2024","https://www.bd.gov.hk/doc/en/resources/codes-and-references/mic/MIC182024_GL.pdf","https://www.bd.gov.hk/doc/en/resources/codes-and-references/mic/MIC182024_IPA.pdf"
